,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.departure_time,O_location,D_location,OD_id,matching_prob,ride_distance,detour_distance,shared_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker,saved_distance_for_taker,origin_id,destination_id,lambda
1892,17592592578014,2017-05-13 08:54:49,2223.0,3624.0,2579,0.9999963271142974,2213.480523453726,419.69759758009786,1709.0432867109178,2972.2955471142727,1178.5126212406474,1552.3678068768436,1924.587992635756,130.80506676212897,1328.5064503579229,-138.0419495717864,-396.8069956095381,2223,3624,0.0166666666666666
1893,17592591681161,2017-05-13 08:22:26,1051.0,1085.0,1181,0.9999641877248748,5642.519232345091,1215.2725789642657,3000.2010323602567,5795.206292358716,1367.9596389778878,2858.6764737186977,4937.918348849723,510.6716954688964,1527.7701859979975,595.2723017043381,1066.459239575926,1051,1085,0.0333333333333333
1894,17592591269373,2017-05-13 08:03:28,1051.0,1085.0,1181,0.9999641877248748,5642.519232345091,1215.2725789642657,3000.2010323602567,5795.206292358716,1367.9596389778878,2858.6764737186977,4937.918348849723,510.6716954688964,1527.7701859979975,595.2723017043381,1066.459239575926,1051,1085,0.0333333333333333
1895,17592591709533,2017-05-13 08:23:44,3259.0,1277.0,3079,0.9928212607672666,8792.531400756927,1352.1433172668533,3980.320019980425,8950.926000151614,1510.5379166615426,3709.881948722116,7812.229527590408,371.8414441003321,1572.6980838183092,889.994032279772,2018.4335369001708,3259,1277,0.0166666666666666
1896,17592591854709,2017-05-13 08:28:37,1348.0,2192.0,1700,0.9999975382766104,8075.305337280256,1444.0215195160883,3926.3561994897977,8079.507755798773,1448.223938034607,3777.266066020493,7246.539915591626,615.2560978274578,1764.7654248724384,719.8600467071334,1895.9014681978008,1348,2192,0.0166666666666666
1897,17592592377371,2017-05-13 08:47:08,1388.0,38.0,1846,0.9999725247465346,3933.9928091206825,770.1910690402407,2761.0908018896853,4339.048750402443,1175.2470103220014,2692.6451529519777,3238.543399337342,74.74165925690089,1167.724925669879,459.56450106436927,950.3623093856282,1388,38,0.0166666666666666
1898,17592592414824,2017-05-13 08:52:19,1344.0,1354.0,1689,0.9989068888069216,759.8873288348904,329.72602554042527,557.7399966908217,1799.3686046274252,1369.207301332959,965.9621152180338,431.9724929172467,1.811189622782044,326.3993456396525,-554.9476438509736,-1386.3309041498726,1344,1354,0.0333333333333333
1899,17592592384067,2017-05-13 08:48:02,1344.0,1354.0,1689,0.9989068888069216,759.8873288348904,329.72602554042527,557.7399966908217,1799.3686046274252,1369.207301332959,965.9621152180338,431.9724929172467,1.811189622782044,326.3993456396525,-554.9476438509736,-1386.3309041498726,1344,1354,0.0333333333333333
1900,17592591303913,2017-05-13 08:05:09,2630.0,1085.0,2850,0.9999947078465096,13918.065676680806,1668.5757362444506,5253.8373381545625,13859.41599341025,1609.926052973892,5311.241083507395,12838.819228980115,589.3292885437545,1693.3395987280726,625.0264999774212,3593.785543817487,2630,1085,0.0166666666666666
1901,17592591381726,2017-05-13 08:00:57,2241.0,2143.0,2645,0.99996359812396,3180.6124287377784,421.9893728158891,2546.8501671371605,3882.0594575683226,1123.4364016464358,2626.8040279799657,2865.297488346311,106.67443242442094,1809.5849741198144,598.5515113069283,254.53358905572577,2241,2143,0.0166666666666666
1902,17592592258547,2017-05-13 08:39:04,1774.0,291.0,2238,0.9992235983509264,3058.964802050625,722.3221278381823,2333.1782803840606,3726.312943253063,1389.6702690406246,2496.7423094245564,2462.1225271774765,125.47985296503286,1260.865377872486,387.81952376693897,193.9416044190324,1774,291,0.0166666666666666
1903,17592592266619,2017-05-13 08:40:07,2693.0,1728.0,2994,0.9999838767879778,7153.918861249281,1123.872888787301,4414.675737745235,7422.907829006781,1392.861856544805,4494.35391354454,6496.443059044721,466.39708658274543,2293.19546975297,1341.1892940434584,2603.180994007524,2693,1728,0.0166666666666666
1904,17592592581307,2017-05-13 08:55:18,194.0,885.0,326,0.9999999998946524,6451.42063513666,1019.2295092914568,3628.167402133951,6424.2449966784025,992.053870833194,3509.3284916153843,5844.021804850932,411.8306790057308,1479.5320471755283,599.2178227202892,1793.9653819498783,194,885,0.0333333333333333
1905,17592592560073,2017-05-13 08:57:57,194.0,885.0,326,0.9999999998946524,6451.42063513666,1019.2295092914568,3628.167402133951,6424.2449966784025,992.053870833194,3509.3284916153843,5844.021804850932,411.8306790057308,1479.5320471755283,599.2178227202892,1793.9653819498783,194,885,0.0333333333333333
1906,17592591451306,2017-05-13 08:01:44,3381.0,849.0,3322,0.9993267681769376,6243.781662182976,1094.8987762062038,3688.055769219847,6410.484731373355,1261.6018453965785,3714.28531506518,5543.054886418603,394.17200044183136,1625.0442235475791,695.6003236048292,1754.3742518885638,3381,849,0.0333333333333333
1907,17592591390111,2017-05-13 08:02:13,3381.0,849.0,3322,0.9993267681769376,6243.781662182976,1094.8987762062038,3688.055769219847,6410.484731373355,1261.6018453965785,3714.28531506518,5543.054886418603,394.17200044183136,1625.0442235475791,695.6003236048292,1754.3742518885638,3381,849,0.0333333333333333
1908,17592591707592,2017-05-13 08:16:19,116.0,822.0,179,0.99999998631091,6622.223419735343,1180.8005138994688,3809.6341048343543,7022.774003670837,1581.3510978349643,3916.750811993172,5988.685393549586,547.2624877137115,2240.462918316112,1085.8622303513291,1986.384481055931,116,822,0.0166666666666666
1909,17592591343581,2017-05-13 08:07:00,2209.0,185.0,2510,0.999996912916026,2805.3594390983662,525.6337833016067,1906.0813690733612,3067.0835570144745,787.3579012177122,1684.8141668805956,2399.1501387722883,119.4244829755322,1036.8614338322654,-15.928622251581931,-275.37456621684584,2209,185,0.0166666666666666
1910,17592591383941,2017-05-13 08:04:47,3404.0,2232.0,3378,0.9973090005090056,6024.4988260413365,1315.5021117399274,3681.9431582167617,6021.714817437416,1312.718103136009,3699.1185949727337,5195.400364305738,486.4036500043296,1345.6201277483688,466.6454418111325,1266.012807308174,3404,2232,0.0166666666666666
1911,17592591667470,2017-05-13 08:10:49,1788.0,2646.0,2288,0.9994125528656218,5147.325607233383,1017.965555898049,3265.1789313332256,5438.244945409177,1308.8848940738385,3317.036785234404,4553.065441436952,423.7053901016168,1759.1772661974514,765.2376843080234,984.8999911188276,1788,2646,0.0166666666666666
