,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,65,pickup_p1,1493942409.9,1493942435.5668092,1305.0,1306.0,17592441408665,
1,167,pickup_p1,1493942409.9,1493942411.8846724,3435.0,2659.0,17592441479936,
2,179,pickup_p1,1493942409.9,1493942434.4507837,1772.0,1771.0,17592441323873,
3,52,pickup_p1,1493942419.9,1493942420.0,482.0,482.0,17592441411541,
4,113,pickup_p1,1493942419.9,1493942739.839753,3370.0,3367.0,17592441481668,
5,62,pickup_p1,1493942429.9,1493942430.0,866.0,866.0,17592441413197,
6,52,pickup_p2,1493942439.9,1493942440.0,482.0,482.0,17592441411541,17592441332705
7,52,delivery_p2,1493942440.0,1493943275.7578692,482.0,627.0,17592441411541,17592441332705
8,52,delivery_p1,1493943275.7578692,1493943275.7578692,627.0,627.0,17592441411541,17592441332705
9,90,pickup_p1,1493942449.9,1493942507.0918183,2655.0,2390.0,17592441336785,
10,112,pickup_p1,1493942449.9,1493942554.1003215,2246.0,2244.0,17592441337701,
11,168,pickup_p1,1493942449.9,1493942510.9811094,684.0,2679.0,17592441484679,
12,55,pickup_p1,1493942459.9,1493942493.8402028,1747.0,1748.0,17592441425205,
13,60,pickup_p1,1493942459.9,1493942460.0,51.0,51.0,17592441421783,
14,162,pickup_p1,1493942459.9,1493942460.0,2248.0,2248.0,17592441421650,
15,56,pickup_p1,1493942469.9,1493942519.440072,185.0,1324.0,17592441343385,
16,98,pickup_p1,1493942479.9,1493942531.029771,2233.0,2232.0,17592441432281,
17,130,pickup_p1,1493942479.9,1493942526.8634644,2357.0,2358.0,17592441431273,
18,218,pickup_p1,1493942479.9,1493942480.0,1574.0,1574.0,17592441545860,
19,55,pickup_p2,1493942509.9,1493942673.5224,1748.0,823.0,17592441425205,17592441492134
20,203,pickup_p1,1493942509.9,1493942510.0,1747.0,1747.0,17592441549659,
21,55,delivery_p2,1493942673.5224,1493943745.729454,823.0,1048.0,17592441425205,17592441492134
22,55,delivery_p1,1493943745.729454,1493943878.2943175,1048.0,2401.0,17592441425205,17592441492134
23,59,pickup_p1,1493942519.9,1493942520.0,3260.0,3260.0,17592441429622,
24,69,pickup_p1,1493942519.9,1493942605.6467357,491.0,3570.0,17592441492979,
25,160,pickup_p1,1493942519.9,1493942550.042126,1754.0,1755.0,17592441429740,
26,51,pickup_p1,1493942529.9,1493942530.0,1072.0,1072.0,17592441494170,
27,54,pickup_p1,1493942529.9,1493942530.0,533.0,533.0,17592441494724,
28,66,pickup_p1,1493942529.9,1493942604.8594987,535.0,1348.0,17592441494534,
29,51,pickup_p2,1493942539.9,1493942583.3053927,1072.0,1071.0,17592441494170,17592441428176
30,203,pickup_p2,1493942539.9,1493942840.4779763,1747.0,1753.0,17592441549659,17592441495170
31,31,pickup_p1,1493942539.9,1493942575.2040935,1331.0,631.0,17592441322329,
32,79,pickup_p1,1493942539.9,1493942595.1824746,1077.0,1078.0,17592441553219,
33,51,delivery_p2,1493942583.3053927,1493942707.9771192,1071.0,1048.0,17592441494170,17592441428176
34,51,delivery_p1,1493942707.9771192,1493943922.7093663,1048.0,2784.0,17592441494170,17592441428176
35,203,delivery_p2,1493942840.4779763,1493943435.5129619,1753.0,176.0,17592441549659,17592441495170
36,203,delivery_p1,1493943435.5129619,1493943577.2248003,176.0,1280.0,17592441549659,17592441495170
37,31,pickup_p2,1493942549.9,1493942640.4221754,631.0,19.0,17592441322329,17592441547810
38,26,pickup_p1,1493942549.9,1493942550.0,2648.0,2648.0,17592441649043,
39,31,delivery_p2,1493942640.4221754,1493942779.9654381,19.0,2159.0,17592441322329,17592441547810
40,31,delivery_p1,1493942779.9654381,1493943015.4873478,2159.0,438.0,17592441322329,17592441547810
41,112,pickup_p2,1493942559.9,1493942877.9771016,2244.0,2111.0,17592441337701,17592441555207
42,166,pickup_p1,1493942559.9,1493942615.6749516,1364.0,1366.0,17592441434058,
43,112,delivery_p2,1493942877.9771016,1493943284.206698,2111.0,2147.0,17592441337701,17592441555207
44,112,delivery_p1,1493943284.206698,1493943533.2670999,2147.0,477.0,17592441337701,17592441555207
45,65,pickup_p2,1493942569.9,1493942776.4427166,1306.0,1236.0,17592441408665,17592441434847
46,65,delivery_p1,1493942776.4427166,1493943315.980282,1236.0,1785.0,17592441408665,17592441434847
47,65,delivery_p2,1493943315.980282,1493943499.6684372,1785.0,82.0,17592441408665,17592441434847
48,14,pickup_p1,1493942579.9,1493942650.9686265,770.0,785.0,17592441436240,
49,17,pickup_p1,1493942579.9,1493942712.3063009,596.0,1351.0,17592441652204,
50,77,pickup_p1,1493942579.9,1493942580.0,1269.0,1269.0,17592441436384,
51,163,pickup_p1,1493942579.9,1493942609.7229273,1753.0,1735.0,17592441652979,
