,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,57,pickup_p1,1494374409.9,1494374429.1132293,503.0,3381.0,17592530832977,
1,163,pickup_p1,1494374409.9,1494374449.8296251,835.0,878.0,17592530830192,
2,235,pickup_p1,1494374409.9,1494374410.0,3312.0,3312.0,17592530926990,
3,139,pickup_p1,1494374419.9,1494374420.0,760.0,760.0,17592530831588,
4,161,pickup_p1,1494374419.9,1494374444.5721865,59.0,58.0,17592530927472,
5,34,pickup_p1,1494374439.9,1494374558.4250402,485.0,991.0,17592530979630,
6,183,pickup_p1,1494374439.9,1494374440.0,1739.0,1739.0,17592530833620,
7,45,pickup_p1,1494374449.9,1494374678.521091,2675.0,1750.0,17592530931042,
8,64,pickup_p1,1494374449.9,1494374501.6380472,1187.0,1186.0,17592530980908,
9,78,pickup_p1,1494374449.9,1494374450.0,1779.0,1779.0,17592530981134,
10,143,pickup_p1,1494374449.9,1494374533.8846173,1568.0,1306.0,17592530930791,
11,210,pickup_p1,1494374459.9,1494374489.7229273,1753.0,1735.0,17592531046540,
12,112,pickup_p1,1494374469.9,1494374470.0,1569.0,1569.0,17592531047276,
13,98,pickup_p1,1494374489.9,1494374540.2664738,996.0,994.0,17592531473478,
14,202,pickup_p1,1494374489.9,1494374490.0,885.0,885.0,17592530985312,
15,187,pickup_p1,1494374499.9,1494374500.0,3302.0,3302.0,17592530936140,
16,230,pickup_p1,1494374499.9,1494374712.6692288,854.0,1126.0,17592531051083,
17,242,pickup_p1,1494374499.9,1494374596.2927248,1761.0,1331.0,17592530936935,
18,242,pickup_p2,1494374509.9,1494374635.6262689,1331.0,19.0,17592530936935,17592530833262
19,41,pickup_p1,1494374509.9,1494374510.0,117.0,117.0,17592530937536,
20,136,pickup_p1,1494374509.9,1494374553.2745848,3269.0,2219.0,17592531052243,
21,242,delivery_p2,1494374635.6262689,1494374962.154604,19.0,2665.0,17592530936935,17592530833262
22,242,delivery_p1,1494374962.154604,1494375347.0434358,2665.0,1080.0,17592530936935,17592530833262
23,29,pickup_p1,1494374519.9,1494374533.436833,1822.0,1049.0,17592530843392,
24,90,pickup_p1,1494374519.9,1494374520.0,3664.0,3664.0,17592530938796,
25,153,pickup_p1,1494374519.9,1494374520.0,2646.0,2646.0,17592530843012,
26,57,pickup_p2,1494374529.9,1494374751.6893134,3381.0,629.0,17592530832977,17592530939998
27,25,pickup_p1,1494374529.9,1494374664.021597,3406.0,116.0,17592531054890,
28,53,pickup_p1,1494374529.9,1494374570.0963006,1245.0,1569.0,17592530990458,
29,105,pickup_p1,1494374529.9,1494374530.0,490.0,490.0,17592531054030,
30,213,pickup_p1,1494374529.9,1494374544.5780299,2388.0,1334.0,17592530990418,
31,57,delivery_p2,1494374751.6893134,1494375085.0812154,629.0,2363.0,17592530832977,17592530939998
32,57,delivery_p1,1494375085.0812154,1494375263.943576,2363.0,1779.0,17592530832977,17592530939998
33,235,pickup_p2,1494374539.9,1494374699.6339626,3312.0,461.0,17592530926990,17592530832429
34,44,pickup_p1,1494374539.9,1494374540.0,1741.0,1741.0,17592530940744,
35,235,delivery_p2,1494374699.6339626,1494374972.9428875,461.0,2159.0,17592530926990,17592530832429
36,235,delivery_p1,1494374972.9428875,1494375430.07518,2159.0,1580.0,17592530926990,17592530832429
37,5,pickup_p1,1494374549.9,1494374610.1031966,1005.0,593.0,17592530992502,
38,223,pickup_p1,1494374549.9,1494374587.6040468,1062.0,1063.0,17592531056780,
39,22,pickup_p1,1494374559.9,1494374587.0917876,2127.0,3191.0,17592531058516,
40,27,pickup_p1,1494374559.9,1494374664.3924487,558.0,3591.0,17592531057650,
41,192,pickup_p1,1494374559.9,1494374560.0,1395.0,1395.0,17592531058312,
42,41,pickup_p2,1494374569.9,1494374570.0,117.0,117.0,17592530937536,17592530856717
43,41,delivery_p2,1494374570.0,1494374749.2318776,117.0,185.0,17592530937536,17592530856717
44,41,delivery_p1,1494374749.2318776,1494375056.3781333,185.0,1580.0,17592530937536,17592530856717
45,202,pickup_p2,1494374579.9,1494374709.9394052,885.0,2390.0,17592530985312,17592530860737
46,12,pickup_p1,1494374579.9,1494374617.240449,419.0,2636.0,17592530947869,
47,211,pickup_p1,1494374579.9,1494374580.0,1563.0,1563.0,17592530948253,
48,202,delivery_p1,1494374709.9394052,1494375212.4182248,2390.0,1744.0,17592530985312,17592530860737
49,202,delivery_p2,1494375212.4182248,1494375464.4792101,1744.0,892.0,17592530985312,17592530860737
50,136,pickup_p2,1494374589.9,1494374667.862423,2219.0,186.0,17592531052243,17592530863729
51,136,delivery_p2,1494374667.862423,1494374976.677335,186.0,188.0,17592531052243,17592530863729
52,136,delivery_p1,1494374976.677335,1494375282.2235312,188.0,3744.0,17592531052243,17592530863729
53,211,pickup_p2,1494374599.9,1494374600.0,1563.0,1563.0,17592530948253,17592530954489
54,23,pickup_p1,1494374599.9,1494374803.0616271,1446.0,2386.0,17592530868845,
55,79,pickup_p1,1494374599.9,1494374629.3721204,843.0,840.0,17592531062528,
56,130,pickup_p1,1494374599.9,1494374675.0433185,778.0,288.0,17592530997950,
57,188,pickup_p1,1494374599.9,1494374680.6454673,480.0,2218.0,17592531062675,
58,211,delivery_p2,1494374600.0,1494375210.3883471,1563.0,1580.0,17592530948253,17592530954489
59,211,delivery_p1,1494375210.3883471,1494375210.3883471,1580.0,1580.0,17592530948253,17592530954489
60,90,pickup_p2,1494374609.9,1494374708.9676878,3664.0,1587.0,17592530938796,17592530839051
61,163,pickup_p2,1494374609.9,1494374950.9203432,878.0,2111.0,17592530830192,17592530959981
62,62,pickup_p1,1494374609.9,1494374644.0533092,2373.0,3589.0,17592530958009,
63,84,pickup_p1,1494374609.9,1494374618.56215,1298.0,1297.0,17592531064115,
64,90,delivery_p2,1494374708.9676878,1494374807.9353757,1587.0,3664.0,17592530938796,17592530839051
65,90,delivery_p1,1494374807.9353757,1494375174.0684307,3664.0,2126.0,17592530938796,17592530839051
66,163,delivery_p2,1494374950.9203432,1494375307.903379,2111.0,1085.0,17592530830192,17592530959981
67,163,delivery_p1,1494375307.903379,1494375307.903379,1085.0,1085.0,17592530830192,17592530959981
68,91,pickup_p1,1494374619.9,1494374669.0110044,2230.0,2231.0,17592530961449,
69,152,pickup_p1,1494374619.9,1494374620.0,575.0,575.0,17592530874425,
70,45,pickup_p2,1494374639.9,1494374640.0,1750.0,1750.0,17592530931042,17592531002860
71,9,pickup_p1,1494374639.9,1494374660.2239492,2363.0,3277.0,17592531002758,
72,121,pickup_p1,1494374639.9,1494374640.0,1070.0,1070.0,17592530968277,
73,241,pickup_p1,1494374639.9,1494374771.8731902,1184.0,1563.0,17592531002343,
74,45,delivery_p2,1494374640.0,1494375133.3071887,1750.0,1735.0,17592530931042,17592531002860
75,45,delivery_p1,1494375133.3071887,1494375828.4297886,1735.0,2159.0,17592530931042,17592531002860
76,79,pickup_p2,1494374649.9,1494374759.2638006,840.0,865.0,17592531062528,17592530989300
77,169,pickup_p1,1494374649.9,1494374684.5826733,2132.0,464.0,17592530973441,
78,79,delivery_p2,1494374759.2638006,1494374976.8978586,865.0,805.0,17592531062528,17592530989300
79,79,delivery_p1,1494374976.8978586,1494375359.050746,805.0,80.0,17592531062528,17592530989300
80,161,pickup_p2,1494374659.9,1494374770.5226538,58.0,3220.0,17592530927472,17592530890661
81,171,pickup_p1,1494374659.9,1494374660.0,2692.0,2692.0,17592530975837,
82,161,delivery_p1,1494374770.5226538,1494375299.3113651,3220.0,2148.0,17592530927472,17592530890661
83,161,delivery_p2,1494375299.3113651,1494375634.2142425,2148.0,488.0,17592530927472,17592530890661
84,51,pickup_p1,1494374669.9,1494374670.0,2404.0,2404.0,17592531071040,
85,228,pickup_p1,1494374669.9,1494374670.0,3283.0,3283.0,17592530980541,
86,64,pickup_p2,1494374679.9,1494374790.421013,1186.0,1173.0,17592530980908,17592530897273
87,46,pickup_p1,1494374679.9,1494374754.3926177,803.0,823.0,17592530894561,
88,218,pickup_p1,1494374679.9,1494374773.7271562,1180.0,3744.0,17592530895965,
89,64,delivery_p2,1494374790.421013,1494375388.218835,1173.0,535.0,17592530980908,17592530897273
90,64,delivery_p1,1494375388.218835,1494377703.758607,535.0,3694.0,17592530980908,17592530897273
91,59,pickup_p1,1494374689.9,1494374827.3195765,55.0,3404.0,17592531008772,
92,68,pickup_p1,1494374689.9,1494374730.5880709,2658.0,3435.0,17592530900369,
93,126,pickup_p1,1494374689.9,1494374690.0,141.0,141.0,17592530900289,
94,59,pickup_p2,1494374699.9,1494374837.3195765,3404.0,55.0,17592531008772,17592530840370
95,99,pickup_p1,1494374699.9,1494374700.0,2111.0,2111.0,17592531009322,
96,165,pickup_p1,1494374699.9,1494374700.0,3222.0,3222.0,17592531074463,
97,239,pickup_p1,1494374699.9,1494374765.8947713,836.0,1738.0,17592530903549,
98,59,delivery_p2,1494374837.3195765,1494375054.0161612,55.0,3282.0,17592531008772,17592530840370
