,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,4,pickup_p1,1495238409.9,1495238410.0,1769.0,1769.0,17592745879902,
1,110,pickup_p1,1495238409.9,1495238472.622638,1018.0,3664.0,17592745904212,
2,130,pickup_p1,1495238409.9,1495238410.0,64.0,64.0,17592745880354,
3,12,pickup_p1,1495238419.9,1495238510.7709045,3190.0,1040.0,17592745725321,
4,138,pickup_p1,1495238429.9,1495238430.0,1567.0,1567.0,17592745913948,
5,56,pickup_p1,1495238439.9,1495238513.644791,1019.0,3664.0,17592745808718,
6,91,pickup_p1,1495238439.9,1495238440.0,1066.0,1066.0,17592745727070,
7,116,pickup_p1,1495238439.9,1495238501.5169759,3406.0,19.0,17592745917364,
8,91,pickup_p2,1495238449.9,1495238678.288582,1066.0,70.0,17592745727070,17592745885801
9,91,delivery_p2,1495238678.288582,1495238920.530483,70.0,2659.0,17592745727070,17592745885801
10,91,delivery_p1,1495238920.530483,1495239186.252768,2659.0,609.0,17592745727070,17592745885801
11,184,pickup_p1,1495238459.9,1495238493.8402028,1747.0,1748.0,17592745886670,
12,74,pickup_p1,1495238469.9,1495238476.6768324,1100.0,1123.0,17592745731735,
13,79,pickup_p1,1495238469.9,1495238607.0282793,3215.0,1123.0,17592745929672,
14,248,pickup_p1,1495238469.9,1495238496.8315854,2693.0,3621.0,17592745813421,
15,0,pickup_p1,1495238479.9,1495238601.3108394,141.0,1364.0,17592745889863,
16,51,pickup_p1,1495238479.9,1495238480.0,3694.0,3694.0,17592745889090,
17,157,pickup_p1,1495238479.9,1495238544.146488,1746.0,1748.0,17592745732125,
18,179,pickup_p1,1495238479.9,1495238588.2336779,994.0,997.0,17592745732654,
19,28,pickup_p1,1495238489.9,1495238503.0484216,1286.0,1280.0,17592745815238,
20,72,pickup_p1,1495238489.9,1495238492.1605594,128.0,1308.0,17592745734643,
21,166,pickup_p1,1495238489.9,1495238490.0,1781.0,1781.0,17592745936848,
