,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,122,pickup_p1,1493596809.9,1493596903.2210763,1002.0,1023.0,17592367480265,
1,4,pickup_p1,1493596829.9,1493596876.431709,1348.0,1363.0,17592367521255,
2,8,pickup_p1,1493596839.9,1493596840.0,2633.0,2633.0,17592367579068,
3,49,pickup_p1,1493596849.9,1493596850.0,3571.0,3571.0,17592367522487,
4,61,pickup_p1,1493596849.9,1493596908.3527062,1179.0,1230.0,17592367487005,
5,63,pickup_p1,1493596849.9,1493596850.0,1731.0,1731.0,17592367486477,
6,37,pickup_p1,1493596869.9,1493596989.0908222,1052.0,470.0,17592367524147,
7,57,pickup_p1,1493596869.9,1493596870.0,3672.0,3672.0,17592367581262,
8,28,pickup_p1,1493596879.9,1493596880.0,81.0,81.0,17592367581362,
9,114,pickup_p1,1493596879.9,1493596880.0,993.0,993.0,17592367524498,
10,44,pickup_p1,1493596909.9,1493597148.771778,2338.0,2331.0,17592367498017,
11,62,pickup_p1,1493596909.9,1493596910.0,3392.0,3392.0,17592367678207,
12,10,pickup_p1,1493596929.9,1493596930.0,1741.0,1741.0,17592367502497,
13,135,pickup_p1,1493596929.9,1493596930.0,893.0,893.0,17592367584456,
14,119,pickup_p1,1493596959.9,1493596960.0,130.0,130.0,17592367529631,
15,98,pickup_p1,1493596969.9,1493596970.0,3847.0,3847.0,17592367511137,
16,59,pickup_p1,1493596979.9,1493597056.6341257,185.0,477.0,17592367530856,
17,67,pickup_p1,1493596979.9,1493596980.0,1186.0,1186.0,17592367682874,
18,146,pickup_p1,1493596979.9,1493597088.2974727,1823.0,1588.0,17592367682680,
19,99,pickup_p1,1493596989.9,1493597086.1420593,3412.0,49.0,17592367588218,
20,28,pickup_p2,1493596999.9,1493597137.9321609,81.0,77.0,17592367581362,17592367589252
21,99,pickup_p2,1493596999.9,1493597057.8805525,49.0,2363.0,17592367588218,17592367527215
22,12,pickup_p1,1493596999.9,1493597138.157444,2221.0,2111.0,17592367479989,
23,28,delivery_p2,1493597137.9321609,1493597488.8690646,77.0,488.0,17592367581362,17592367589252
24,28,delivery_p1,1493597488.8690646,1493599941.7499785,488.0,3694.0,17592367581362,17592367589252
25,99,delivery_p2,1493597057.8805525,1493597268.5984983,2363.0,3411.0,17592367588218,17592367527215
26,99,delivery_p1,1493597268.5984983,1493597661.6898692,3411.0,2665.0,17592367588218,17592367527215
27,128,pickup_p1,1493597009.9,1493597187.2403836,2244.0,1134.0,17592367684908,
28,40,pickup_p1,1493597019.9,1493597062.1953044,2204.0,2209.0,17592367533335,
29,9,pickup_p1,1493597029.9,1493597179.9718802,609.0,3664.0,17592367686214,
30,49,pickup_p2,1493597039.9,1493597040.0,3571.0,3571.0,17592367522487,17592367686503
31,61,pickup_p2,1493597039.9,1493597155.3207197,1230.0,1556.0,17592367487005,17592367523213
32,89,pickup_p1,1493597039.9,1493597128.9220598,1068.0,1070.0,17592367521877,
33,49,delivery_p2,1493597040.0,1493597847.8755627,3571.0,3269.0,17592367522487,17592367686503
34,49,delivery_p1,1493597847.8755627,1493597847.8755627,3269.0,3269.0,17592367522487,17592367686503
35,61,delivery_p2,1493597155.3207197,1493597981.4378915,1556.0,3381.0,17592367487005,17592367523213
36,61,delivery_p1,1493597981.4378915,1493598295.8992496,3381.0,2111.0,17592367487005,17592367523213
37,89,pickup_p2,1493597049.9,1493597170.9345222,1070.0,1072.0,17592367521877,17592367524265
38,89,delivery_p2,1493597170.9345222,1493597510.358022,1072.0,532.0,17592367521877,17592367524265
39,89,delivery_p1,1493597510.358022,1493597510.358022,532.0,532.0,17592367521877,17592367524265
40,21,pickup_p1,1493597069.9,1493597070.0,116.0,116.0,17592367593452,
41,0,pickup_p1,1493597079.9,1493597080.0,1286.0,1286.0,17592367537052,
42,1,pickup_p1,1493597079.9,1493597080.0,1823.0,1823.0,17592367689123,
43,26,pickup_p1,1493597079.9,1493597080.0,1574.0,1574.0,17592367689271,
44,116,pickup_p1,1493597079.9,1493597098.5934749,3287.0,3286.0,17592367593830,
45,86,pickup_p1,1493597089.9,1493597171.758248,1569.0,1567.0,17592367594678,
46,3,pickup_p1,1493597119.9,1493597224.1003215,2244.0,2246.0,17592367539420,
47,6,pickup_p1,1493597119.9,1493597120.0,719.0,719.0,17592367536989,
48,91,pickup_p1,1493597119.9,1493597120.0,51.0,51.0,17592367691403,
49,63,pickup_p2,1493597129.9,1493597204.2747862,1731.0,823.0,17592367486477,17592367539832
50,63,delivery_p2,1493597204.2747862,1493598061.4545245,823.0,2665.0,17592367486477,17592367539832
51,63,delivery_p1,1493598061.4545245,1493599447.018017,2665.0,3492.0,17592367486477,17592367539832
52,0,pickup_p2,1493597139.9,1493597298.589097,1286.0,2404.0,17592367537052,17592367597668
53,19,pickup_p1,1493597139.9,1493597255.2558088,485.0,1070.0,17592367540905,
54,38,pickup_p1,1493597139.9,1493597198.6951127,1139.0,3508.0,17592367692918,
55,0,delivery_p2,1493597298.589097,1493599749.7484317,2404.0,3694.0,17592367537052,17592367597668
56,0,delivery_p1,1493599749.7484317,1493599749.7484317,3694.0,3694.0,17592367537052,17592367597668
57,58,pickup_p1,1493597149.9,1493597177.3913283,1069.0,1068.0,17592367543293,
58,134,pickup_p1,1493597149.9,1493597179.4435656,2228.0,2390.0,17592367693735,
59,135,pickup_p2,1493597159.9,1493597259.7547987,893.0,799.0,17592367584456,17592367542074
60,65,pickup_p1,1493597159.9,1493597251.118453,2225.0,1737.0,17592367694266,
61,74,pickup_p1,1493597159.9,1493597160.0,1339.0,1339.0,17592367599079,
62,143,pickup_p1,1493597159.9,1493597160.0,1343.0,1343.0,17592367541963,
63,135,delivery_p2,1493597259.7547987,1493600126.5899398,799.0,3694.0,17592367584456,17592367542074
64,135,delivery_p1,1493600126.5899398,1493600126.5899398,3694.0,3694.0,17592367584456,17592367542074
65,65,pickup_p2,1493597169.9,1493597261.118453,1737.0,2225.0,17592367694266,17592367522821
66,30,pickup_p1,1493597169.9,1493597170.0,3300.0,3300.0,17592367745231,
67,108,pickup_p1,1493597169.9,1493597404.0070302,458.0,3296.0,17592367523037,
68,65,delivery_p2,1493597261.118453,1493597552.227139,2225.0,1744.0,17592367694266,17592367522821
