OD_id,origin_id,destination_id,lambda
0,7.0,487.0,0.0005662514156285391
1,7.0,2111.0,0.0005662514156285391
2,7.0,2127.0,0.0005662514156285391
3,7.0,2238.0,0.0005662514156285391
4,7.0,3283.0,0.0005662514156285391
5,9.0,130.0,0.0005662514156285391
6,11.0,291.0,0.0005662514156285391
7,11.0,1085.0,0.0005662514156285391
8,17.0,3269.0,0.0005662514156285391
9,18.0,1085.0,0.0005662514156285391
10,19.0,1342.0,0.0005662514156285391
11,35.0,1744.0,0.0005662514156285391
12,37.0,2388.0,0.0005662514156285391
13,38.0,438.0,0.0005662514156285391
14,38.0,1085.0,0.0005662514156285391
15,38.0,1329.0,0.0005662514156285391
16,38.0,1569.0,0.0005662514156285391
17,38.0,2399.0,0.0005662514156285391
18,39.0,1035.0,0.0005662514156285391
19,40.0,1085.0,0.0005662514156285391
20,40.0,3621.0,0.0005662514156285391
21,47.0,1085.0,0.0005662514156285391
22,48.0,1085.0,0.0005662514156285391
23,49.0,2648.0,0.0005662514156285391
24,49.0,2665.0,0.0005662514156285391
25,51.0,1198.0,0.0005662514156285391
26,52.0,476.0,0.0005662514156285391
27,55.0,844.0,0.0005662514156285391
28,55.0,1269.0,0.0005662514156285391
29,55.0,3269.0,0.0005662514156285391
30,55.0,3664.0,0.0005662514156285391
31,56.0,776.0,0.0005662514156285391
32,56.0,860.0,0.0005662514156285391
33,56.0,1280.0,0.0005662514156285391
34,56.0,1331.0,0.0005662514156285391
35,56.0,2156.0,0.0005662514156285391
36,56.0,2355.0,0.0005662514156285391
37,57.0,479.0,0.0011325028312570782
38,58.0,16.0,0.0005662514156285391
39,58.0,1069.0,0.0005662514156285391
40,58.0,2697.0,0.0005662514156285391
41,58.0,3278.0,0.0005662514156285391
42,58.0,3369.0,0.0005662514156285391
43,59.0,3381.0,0.0005662514156285391
44,59.0,3440.0,0.0011325028312570782
45,60.0,803.0,0.0005662514156285391
46,60.0,997.0,0.0005662514156285391
47,60.0,2111.0,0.0005662514156285391
48,60.0,2192.0,0.0005662514156285391
49,60.0,2665.0,0.0005662514156285391
