,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.arrive_time,O_location,D_location,OD_id,matching_prob,ride_distance,detour_distance,shared_distance,ride_distance_for_taker,detour_distance_for_taker,shared_distance_for_taker,ride_distance_for_seeker,detour_distance_for_seeker,shared_distance_for_seeker,saved_distance_for_seeker,saved_distance_for_taker,origin_id,destination_id,lambda
0,17592367569051,2017-05-01 08:03:09,194.0,2400.0,137,0.999076567370194,5281.560573214173,930.3453115998384,3784.5079515879534,5692.357804098858,1341.1425424845231,3935.644858345307,4601.591030918651,250.37576930431842,1789.1058610621008,919.5378589097239,1624.1921567784893,194,2400,0.0005662514156285391
1,17592368066368,2017-05-01 08:36:06,1078.0,3694.0,585,0.9319642148840591,17524.107064405714,982.9936033114952,6728.184116043675,17793.688652700792,1252.575191606581,6916.646706958598,16945.00817000376,403.89470890954436,3530.4340026703026,2570.232917508994,5622.15514277237,1078,3694,0.0005662514156285391
2,17592367714348,2017-05-01 08:13:11,2660.0,480.0,1379,0.9949944617606006,5592.991521197976,819.0514421660448,3426.476123312594,5927.197176664135,1153.257097632204,3316.3680567146216,5040.567602453691,266.6275234217603,1837.896229332239,995.2861389114754,1285.4063176171499,2660,480,0.0005662514156285391
3,17592367767705,2017-05-01 08:25:27,2245.0,194.0,1245,0.9993908960297176,9994.997950792544,1283.5430395607436,5154.4184635900565,10083.326521018316,1371.8716097865095,5170.195050079444,9201.336450850762,489.8815396189563,2163.3333436959133,1115.5580316616408,3464.1145204164864,2245,194,0.0005662514156285391
4,17592367873770,2017-05-01 08:23:31,3033.0,824.0,1424,0.8519760413185469,9158.236283037375,737.7477849811336,4105.1924251636265,9260.305264490968,839.816766434727,3508.1619985089337,8420.488498056242,0.0,1023.4026262502573,907.1395813301928,1827.1261997235893,3033,824,0.0005662514156285391
5,17592368001913,2017-05-01 08:48:08,2692.0,995.0,1409,0.8717928354381184,4968.254568545943,552.4393738911829,2565.216921283615,5155.18136902527,739.366174370509,2189.944058392579,4645.468762078026,229.6535674232671,1609.150923796369,923.7476339414231,1011.0647633884436,2692,995,0.0005662514156285391
6,17592368168398,2017-05-01 08:46:37,477.0,541.0,207,0.9985372797014834,8008.88386459476,1155.0998718191008,4380.596646554546,8353.065583578304,1499.2815908026505,4273.393125857539,7296.59056627138,442.80657349572266,2350.351425561776,1205.5878883125524,2430.431890794127,477,541,0.0005662514156285391
7,17592367922222,2017-05-01 08:36:13,487.0,3694.0,229,0.9966017195545822,21571.5854874729,1473.6495275752563,6957.555580131525,21729.70522851768,1631.7692686200503,7169.577606466495,20842.1988840507,744.2629241530453,3752.8170433070613,2423.2630516551794,5535.6444614865795,487,3694,0.0011325028312570782
8,17592367859635,2017-05-01 08:37:42,487.0,3694.0,229,0.9966017195545822,21571.5854874729,1473.6495275752563,6957.555580131525,21729.70522851768,1631.7692686200503,7169.577606466495,20842.1988840507,744.2629241530453,3752.8170433070613,2423.2630516551794,5535.6444614865795,487,3694,0.0011325028312570782
9,17592367938366,2017-05-01 08:44:35,1348.0,1051.0,784,0.9921974959615472,6445.514677737344,958.679932411864,3988.3238012506135,6560.9855583271865,1074.150813001704,3987.753353391042,5779.461427630894,292.62668230541175,1515.6206672961905,710.9232531968547,2021.3017905157305,1348,1051,0.0005662514156285391
