,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.product_id,dwv_order_make_haikou_1.city_id,dwv_order_make_haikou_1.district,dwv_order_make_haikou_1.county,dwv_order_make_haikou_1.type,dwv_order_make_haikou_1.combo_type,dwv_order_make_haikou_1.traffic_type,dwv_order_make_haikou_1.passenger_count,dwv_order_make_haikou_1.driver_product_id,dwv_order_make_haikou_1.start_dest_distance,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.pre_total_fee,dwv_order_make_haikou_1.normal_time,dwv_order_make_haikou_1.bubble_trace_id,dwv_order_make_haikou_1.product_1level,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day,O_location,D_location
437849,17592368122858,3,83,898,460106,0,0,0,0,3,5823,2017-05-01 08:43:57,2017-05-01 08:43:04,15,9.0,c0a8c77e0ed5e8f1790152b710370303,3,110.2663,19.9973,110.3016,20.0183,2017,5,1,3404.0,678.0
437906,17592368184853,3,83,898,460108,0,0,0,0,3,4510,2017-05-01 08:53:13,2017-05-01 08:50:12,13,13.0,64469f33590686449e68285dd53b5c02,3,110.3318,20.0411,110.34299999999999,20.0667,2017,5,1,419.0,1286.0
437968,17592368040570,3,83,898,460106,0,0,0,0,3,4705,2017-05-01 08:49:00,2017-05-01 08:45:40,14,15.0,64469f33590685332e9e287604eaf202,3,110.361,20.0071,110.3399,19.9851,2017,5,1,2692.0,2401.0
437969,17592368051789,3,83,898,460106,0,0,0,0,3,7276,2017-05-01 08:49:04,2017-05-01 08:46:56,20,16.0,6446a13559068580b91a2ac8efdc8402,3,110.3197,20.0271,110.3352,19.9952,2017,5,1,2113.0,40.0
438035,17592367616953,3,83,898,460108,0,0,0,0,3,10001,2017-05-01 08:14:27,2017-05-01 08:12:40,25,17.0,ad95c72de28a097c10040aaa10320303,3,110.2897,20.0127,110.3671,20.0258,2017,5,1,1370.0,803.0
438099,17592367755138,3,83,898,460106,0,0,0,0,3,7427,2017-05-01 08:11:19,2017-05-01 08:08:36,19,13.0,b0b951ad59067c7f00001f128e8ddc91,3,110.3433,19.9841,110.3202,20.0247,2017,5,1,38.0,1085.0
438100,17592367926668,3,83,898,460107,0,0,0,0,3,7568,2017-05-01 08:38:22,2017-05-01 08:33:57,20,18.0,1b1bf57c5906827400001d4eb4c0e4e2,3,110.3153,20.0297,110.35600000000001,20.004,2017,5,1,1048.0,292.0
438101,17592368143723,3,83,898,460106,0,0,0,0,3,5882,2017-05-01 08:51:27,2017-05-01 08:47:18,16,12.0,6445623d59068596642916640496e302,3,110.3433,19.9841,110.3134,19.9978,2017,5,1,878.0,1085.0
438177,17592368074035,3,83,898,460106,0,0,0,0,3,4946,2017-05-01 08:39:44,2017-05-01 08:32:55,13,10.0,6445623d590682376466168137db7302,3,110.2712,20.0185,110.2986,20.0252,2017,5,1,770.0,814.0
438312,17592368449832,3,83,898,460107,0,0,0,0,3,12348,2017-05-01 08:56:46,2017-05-01 08:55:23,33,23.0,6446a1325906877b2e2fa042df644302,3,110.2867,20.019000000000002,110.3703,20.0063,2017,5,1,1587.0,763.0
438391,17592367749736,3,83,898,460106,0,0,0,0,3,10340,2017-05-01 08:10:11,2017-05-01 08:07:14,27,11.0,91e37f7311e4f97ba71add3b10350303,3,110.3211,20.0627,110.3373,19.9912,2017,5,1,2221.0,1184.0
438392,17592367785940,3,83,898,460108,0,0,0,0,3,5863,2017-05-01 08:18:32,2017-05-01 08:16:16,15,8.0,64469d3659067e4f32508a36cc6f1602,3,110.3022,20.0246,110.3197,20.0629,2017,5,1,1569.0,1772.0
438393,17592367942335,3,83,898,460105,0,0,0,0,3,2824,2017-05-01 08:39:45,2017-05-01 08:37:15,10,6.0,4d457f3b5906832d000008f9678e0897,3,110.2799,19.9911,110.2943,19.9999,2017,5,1,3223.0,2678.0
438394,17592368187522,3,83,898,460108,0,0,0,0,3,6042,2017-05-01 08:48:54,2017-05-01 08:45:57,17,16.0,6445623c590685457a298abfdb768002,3,110.3482,20.0159,110.3472,20.0628,2017,5,1,1549.0,3384.0
438460,17592368251488,3,83,898,460108,0,0,0,0,3,14260,2017-05-01 08:51:36,2017-05-01 08:45:56,41,31.0,6445b03a5906854404f02278c2cd4102,3,110.2772,19.9788,110.3548,20.0516,2017,5,1,533.0,1101.0
438520,17592368125763,3,83,898,460106,0,0,0,0,3,13311,2017-05-01 08:45:33,2017-05-01 08:43:40,37,19.0,64469d36590684b600988a3afb26e702,3,110.2377,20.0367,110.3352,20.0306,2017,5,1,2404.0,2386.0
438521,17592368189210,3,83,898,460107,0,0,0,0,3,6458,2017-05-01 08:52:43,2017-05-01 08:46:17,17,13.0,c0a8016e37c89a4c6120f01d10300303,3,110.3654,19.9888,110.4082,19.9706,2017,5,1,973.0,1035.0
438581,17592368001740,3,83,898,460106,0,0,0,0,3,5157,2017-05-01 08:39:28,2017-05-01 08:37:44,14,9.0,c0a801684500efac130af2bd10850303,3,110.3367,20.0211,110.3016,20.0249,2017,5,1,1772.0,630.0
438582,17592368080322,3,83,898,460105,0,0,0,0,3,3930,2017-05-01 08:42:48,2017-05-01 08:34:16,11,8.0,64469f35590682870a38447cf3313b02,3,110.3051,19.9972,110.2912,19.9757,2017,5,1,890.0,877.0
438802,17592367703126,3,83,898,460107,0,0,0,0,3,6503,2017-05-01 08:11:50,2017-05-01 08:08:13,16,11.0,64469e3b59067c6d8a0c5417c0e4ba02,3,110.34100000000001,20.0355,110.345,19.9982,2017,5,1,2195.0,185.0
438803,17592367786873,3,83,898,460108,0,0,0,0,3,11168,2017-05-01 08:24:48,2017-05-01 08:21:50,29,18.0,ef469e3b8052c322da06c74310620303,3,110.3433,19.9841,110.40799999999999,20.0145,2017,5,1,2180.0,1085.0
438943,17592367533688,3,83,898,460106,0,0,0,0,3,9564,2017-05-01 08:06:07,2017-05-01 08:03:43,24,14.0,6445623d59067b5f3c2d168d1bc39402,3,110.3501,20.0681,110.3128,20.0251,2017,5,1,3279.0,1552.0
438944,17592368007918,3,83,898,460106,0,0,0,0,3,6871,2017-05-01 08:40:16,2017-05-01 08:39:01,17,10.0,6446a133590683a53ea07746d1312102,3,110.3306,19.9952,110.3389,20.0391,2017,5,1,488.0,2111.0
438945,17592368137070,3,83,898,460108,0,0,0,0,3,5618,2017-05-01 08:52:17,2017-05-01 08:45:57,15,13.0,5774a8a35906853e000063d97112d417,3,110.3425,20.0301,110.3783,20.0185,2017,5,1,17.0,3269.0
439010,17592367974800,3,83,898,460105,0,0,0,0,3,2497,2017-05-01 08:38:07,2017-05-01 08:32:01,9,4.0,9ba3674b1afeeb8f1404b59610990303,3,110.2489,20.0202,110.2385,20.0337,2017,5,1,733.0,1489.0
439011,17592368352166,3,83,898,460106,0,0,0,0,3,3441,2017-05-01 08:59:29,2017-05-01 08:54:51,9,11.0,64469d365906875a662e8a38f8161202,3,110.3509,20.0229,110.3321,20.0286,2017,5,1,2388.0,2186.0
439075,17592367959777,3,83,898,460107,0,0,0,0,3,12310,2017-05-01 08:40:51,2017-05-01 08:38:46,31,26.0,6446a133590683957df87734f8330002,3,110.3488,19.9183,110.3665,20.0046,2017,5,1,1588.0,2697.0
439076,17592368260459,3,83,898,460107,0,0,0,0,3,9493,2017-05-01 08:50:54,2017-05-01 08:47:45,26,19.0,64469f33590685b1251e28538f408d02,3,110.2992,20.0018,110.3639,19.9886,2017,5,1,3290.0,1740.0
439132,17592367692588,3,83,898,460108,0,0,6,0,3,25725,2017-05-01 08:12:48,2017-05-01 08:05:30,73,31.0,440c0e5159067bc60000418e453b57ef,3,110.4634,19.9369,110.3378,20.0728,2017,5,1,1547.0,3694.0
439133,17592368104140,3,83,898,460107,0,0,0,0,3,7877,2017-05-01 08:44:10,2017-05-01 08:39:16,21,15.0,64469d36590683b3494b8a5e0670d202,3,110.3213,20.0328,110.3752,20.0137,2017,5,1,544.0,1382.0
439336,17592367755458,3,83,898,460106,0,0,0,0,3,1273,2017-05-01 08:15:21,2017-05-01 08:08:41,9,7.0,6445533359067c882dfd75b2d4e96d02,3,110.3365,20.0405,110.3296,20.0349,2017,5,1,1298.0,1280.0
439337,17592367840214,3,83,898,460108,0,0,0,0,3,5298,2017-05-01 08:30:44,2017-05-01 08:29:02,15,14.0,c0a801640db600961407acb1104e0303,3,110.3341,20.0319,110.3621,20.0257,2017,5,1,1355.0,2404.0
439338,17592368127779,3,83,898,460108,0,0,0,0,3,5053,2017-05-01 08:51:45,2017-05-01 08:44:05,14,15.0,64469f34590684d437cd7a5ef3e3ce02,3,110.3281,20.0203,110.3591,20.027,2017,5,1,1355.0,3390.0
439339,17592368211406,3,83,898,460106,0,0,0,0,3,6726,2017-05-01 08:54:39,2017-05-01 08:50:50,18,13.0,6445ae3a590686690486a3adfb3fc602,3,110.33,19.9955,110.2991,20.0077,2017,5,1,3221.0,885.0
439414,17592367561741,3,83,898,460108,0,0,0,0,3,4170,2017-05-01 08:11:40,2017-05-01 08:08:02,13,16.0,64469e3b59067c628d575400c9cba102,3,110.3608,20.0103,110.34,20.024,2017,5,1,1331.0,2400.0
439415,17592367915780,3,83,898,460106,0,0,0,0,3,6537,2017-05-01 08:35:54,2017-05-01 08:31:36,17,13.0,6445ae3a590681e7b478a39603252402,3,110.355,19.9941,110.3332,20.03,2017,5,1,2388.0,1070.0
