,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,187,pickup_p1,1494892809.9,1494892810.0,2665.0,2665.0,17592660648829,
1,228,pickup_p1,1494892809.9,1494892842.6431284,458.0,3621.0,17592660710666,
2,69,pickup_p1,1494892819.9,1494892887.2877707,824.0,823.0,17592660712042,
3,165,pickup_p1,1494892819.9,1494892858.28874,2404.0,2388.0,17592660767938,
4,4,pickup_p1,1494892829.9,1494892902.2490058,1280.0,487.0,17592660864916,
5,10,pickup_p1,1494892829.9,1494892990.7521052,1748.0,1750.0,17592660713019,
6,72,pickup_p1,1494892829.9,1494892830.0,1078.0,1078.0,17592660864628,
7,144,pickup_p1,1494892829.9,1494892830.0,141.0,141.0,17592660770067,
8,228,pickup_p2,1494892839.9,1494892988.7688594,3621.0,463.0,17592660710666,17592660714284
9,76,pickup_p1,1494892839.9,1494892840.0,2358.0,2358.0,17592660714187,
10,131,pickup_p1,1494892839.9,1494892851.335268,850.0,849.0,17592660660357,
11,205,pickup_p1,1494892839.9,1494892917.567854,2231.0,2233.0,17592660771058,
12,228,delivery_p1,1494892988.7688594,1494893725.427935,463.0,823.0,17592660710666,17592660714284
13,228,delivery_p2,1494893725.427935,1494894102.0727015,823.0,396.0,17592660710666,17592660714284
14,57,pickup_p1,1494892849.9,1494892850.0,3258.0,3258.0,17592660772334,
15,158,pickup_p1,1494892849.9,1494892917.2877707,824.0,823.0,17592660772359,
16,9,pickup_p1,1494892859.9,1494892905.6416345,1319.0,1317.0,17592660869454,
17,21,pickup_p1,1494892859.9,1494892907.602557,1740.0,3222.0,17592660869380,
18,29,pickup_p1,1494892859.9,1494892919.6409512,40.0,77.0,17592660716822,
19,89,pickup_p1,1494892859.9,1494892860.0,575.0,575.0,17592660868684,
20,126,pickup_p1,1494892859.9,1494892860.0,1784.0,1784.0,17592660717020,
21,18,pickup_p1,1494892869.9,1494892870.0,865.0,865.0,17592660672933,
22,129,pickup_p1,1494892869.9,1494892910.2838814,57.0,58.0,17592660670761,
23,208,pickup_p1,1494892869.9,1494892870.0,1070.0,1070.0,17592660670449,
24,193,pickup_p1,1494892879.9,1494892880.0,884.0,884.0,17592660776430,
25,22,pickup_p1,1494892889.9,1494892895.6591675,2210.0,2209.0,17592660720704,
26,66,pickup_p1,1494892889.9,1494892890.0,837.0,837.0,17592660678125,
27,166,pickup_p1,1494892889.9,1494892890.0,3624.0,3624.0,17592660680013,
28,69,pickup_p2,1494892899.9,1494892995.769988,823.0,3360.0,17592660712042,17592660684833
29,5,pickup_p1,1494892899.9,1494892900.0,2636.0,2636.0,17592660874722,
30,123,pickup_p1,1494892899.9,1494892965.1122901,1728.0,3360.0,17592660684709,
31,200,pickup_p1,1494892899.9,1494893020.9345222,1072.0,1070.0,17592660682925,
32,69,delivery_p1,1494892995.769988,1494893525.1437604,3360.0,2655.0,17592660712042,17592660684833
33,69,delivery_p2,1494893525.1437604,1494893800.3095577,2655.0,2666.0,17592660712042,17592660684833
34,4,pickup_p2,1494892909.9,1494893077.1295059,487.0,477.0,17592660864916,17592660874850
35,22,pickup_p2,1494892909.9,1494892985.4374378,2209.0,1327.0,17592660720704,17592660779212
36,135,pickup_p1,1494892909.9,1494892910.0,1138.0,1138.0,17592660780179,
37,145,pickup_p1,1494892909.9,1494893033.5260575,1285.0,189.0,17592660875482,
38,151,pickup_p1,1494892909.9,1494892913.7749813,2130.0,2128.0,17592660723567,
39,4,delivery_p2,1494893077.1295059,1494893576.1841362,477.0,1047.0,17592660864916,17592660874850
40,4,delivery_p1,1494893576.1841362,1494895195.4029644,1047.0,3509.0,17592660864916,17592660874850
41,22,delivery_p1,1494892985.4374378,1494893461.7833176,1327.0,609.0,17592660720704,17592660779212
42,22,delivery_p2,1494893461.7833176,1494893611.7551978,609.0,3664.0,17592660720704,17592660779212
43,135,pickup_p2,1494892919.9,1494893032.644262,1138.0,963.0,17592660780179,17592660720295
44,135,delivery_p2,1494893032.644262,1494893939.4626613,963.0,3680.0,17592660780179,17592660720295
45,135,delivery_p1,1494893939.4626613,1494893969.4370058,3680.0,3834.0,17592660780179,17592660720295
46,106,pickup_p1,1494892929.9,1494892946.2113073,2241.0,833.0,17592660694217,
47,113,pickup_p1,1494892929.9,1494892979.05198,64.0,3296.0,17592660695017,
48,38,pickup_p1,1494892939.9,1494892940.0,843.0,843.0,17592660727486,
49,131,pickup_p2,1494892949.9,1494892962.3385818,849.0,62.0,17592660660357,17592660728767
50,117,pickup_p1,1494892949.9,1494892992.1953044,2204.0,2209.0,17592660700941,
51,210,pickup_p1,1494892949.9,1494892950.0,1369.0,1369.0,17592660880274,
52,131,delivery_p2,1494892962.3385818,1494893543.888397,62.0,1091.0,17592660660357,17592660728767
53,131,delivery_p1,1494893543.888397,1494894067.7942197,1091.0,1817.0,17592660660357,17592660728767
54,57,pickup_p2,1494892989.9,1494893125.34305,3258.0,1370.0,17592660772334,17592660733138
55,106,pickup_p2,1494892989.9,1494893061.983302,833.0,2227.0,17592660694217,17592660885706
56,145,pickup_p2,1494892989.9,1494893151.4101765,189.0,488.0,17592660875482,17592660800339
57,67,pickup_p1,1494892989.9,1494892990.0,764.0,764.0,17592660733600,
58,159,pickup_p1,1494892989.9,1494893186.5398445,70.0,466.0,17592660789744,
59,57,delivery_p2,1494893125.34305,1494893523.9935427,1370.0,1311.0,17592660772334,17592660733138
60,57,delivery_p1,1494893523.9935427,1494893940.5904338,1311.0,1556.0,17592660772334,17592660733138
61,106,delivery_p2,1494893061.983302,1494893222.9131916,2227.0,836.0,17592660694217,17592660885706
62,106,delivery_p1,1494893222.9131916,1494893909.0036874,836.0,1400.0,17592660694217,17592660885706
63,145,delivery_p2,1494893151.4101765,1494893829.818738,488.0,2195.0,17592660875482,17592660800339
