,vehicle_id,vehicle_type,depart_time,depart_timestamp,arrival_time,arrival_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
352,24,pickup_p1,2017-05-01 00:59:39.900000000,1493600379.9,2017-05-01 01:03:35.475511552,1493600615.4755116,1048.0,1061.0,17592368117681,,110.357566,20.0041143,110.3695319,19.9916222
353,59,pickup_p1,2017-05-01 00:07:39.900000000,1493597259.9,2017-05-01 00:07:40.000000000,1493597260.0,3437.0,3437.0,17592367534093,,110.4032877,20.0185729,110.4032877,20.0185729
354,59,pickup_p2,2017-05-01 00:07:49.900000000,1493597269.9,2017-05-01 00:07:50.000000000,1493597270.0,3437.0,3437.0,17592367534093,17592367534093.0,110.4032877,20.0185729,110.4032877,20.0185729
355,109,delivery_p2,2017-05-01 00:38:06.153190912,1493599086.1531909,2017-05-01 00:50:10.101511680,1493599810.1015117,131.0,3437.0,17592367818974,17592367902353.0,110.352186,20.0310511,110.4032877,20.0185729
356,59,delivery_p2,2017-05-01 00:07:50.000000000,1493597270.0,2017-05-01 00:42:25.179438080,1493599345.179438,3437.0,3644.0,17592367534093,17592367534093.0,110.4032877,20.0185729,110.2654616,19.9852368
357,59,delivery_p1,2017-05-01 00:42:25.179438080,1493599345.179438,2017-05-01 00:42:25.179438080,1493599345.179438,3644.0,3644.0,17592367534093,17592367534093.0,110.2654616,19.9852368,110.2654616,19.9852368
358,5,pickup_p1,2017-05-01 00:07:49.900000000,1493597269.9,2017-05-01 00:07:50.000000000,1493597270.0,3308.0,3308.0,17592367533191,,110.3131939,20.0065213,110.3131939,20.0065213
359,5,"failed_ridepooling,delivery_p1",2017-05-01 00:17:50.000000000,1493597870.0,2017-05-01 00:39:36.696134144,1493599176.696134,3308.0,2386.0,17592367533191,,110.3131939,20.0065213,110.2350465,20.0368094
360,66,delivery_p2,2017-05-01 00:58:40.000000000,1493600320.0,2017-05-01 01:19:41.675138816,1493601581.6751387,860.0,2386.0,17592368277396,17592368228261.0,110.2901851,19.9815014,110.2350465,20.0368094
361,87,delivery_p1,2017-05-01 00:54:45.568059648,1493600085.5680597,2017-05-01 01:09:23.933659904,1493600963.93366,1773.0,2386.0,17592367822341,17592367828780.0,110.298201,20.0221929,110.2350465,20.0368094
362,5,pickup_p1,2017-05-01 00:51:59.900000000,1493599919.9,2017-05-01 00:52:00.000000000,1493599920.0,2386.0,2386.0,17592368272995,,110.2350465,20.0368094,110.2350465,20.0368094
363,5,pickup_p2,2017-05-01 00:52:09.900000000,1493599929.9,2017-05-01 00:52:10.000000000,1493599930.0,2386.0,2386.0,17592368272995,17592368272995.0,110.2350465,20.0368094,110.2350465,20.0368094
364,66,delivery_p1,2017-05-01 01:19:41.675138816,1493601581.6751387,2017-05-01 01:19:41.675138816,1493601581.6751387,2386.0,2386.0,17592368277396,17592368228261.0,110.2350465,20.0368094,110.2350465,20.0368094
365,59,pickup_p1,2017-05-01 00:44:29.900000000,1493599469.9,2017-05-01 00:49:09.163213056,1493599749.163213,3644.0,678.0,17592367940676,,110.2654616,19.9852368,110.2678264,19.9981718
366,37,pickup_p1,2017-05-01 00:07:59.900000000,1493597279.9,2017-05-01 00:08:00.000000000,1493597280.0,604.0,604.0,17592367692218,,110.3766748,20.0297118,110.3766748,20.0297118
367,125,delivery_p1,2017-05-01 00:08:46.833061632,1493597326.8330617,2017-05-01 00:22:05.933451008,1493598125.933451,2679.0,35.0,17592367671090,17592367588092.0,110.2803676,19.9933808,110.3228425,20.0212155
368,129,delivery_p1,2017-05-01 01:01:49.835619328,1493600509.8356192,2017-05-01 01:05:17.380480256,1493600717.3804803,3307.0,35.0,17592367917274,17592368030885.0,110.3228845,20.010913,110.3228425,20.0212155
369,2,pickup_p1,2017-05-01 00:08:29.900000000,1493597309.9,2017-05-01 00:08:30.000000000,1493597310.0,3508.0,3508.0,17592367692918,,110.4360475,19.964903,110.4360475,19.964903
370,47,pickup_p2,2017-05-01 00:29:59.900000000,1493598599.9,2017-05-01 00:30:00.000000000,1493598600.0,3508.0,3508.0,17592367952960,17592367952960.0,110.4360475,19.964903,110.4360475,19.964903
371,47,pickup_p1,2017-05-01 00:29:49.900000000,1493598589.9,2017-05-01 00:31:19.992100864,1493598679.992101,1140.0,3508.0,17592367952960,,110.4312294,19.9695234,110.4360475,19.964903
372,2,pickup_p2,2017-05-01 00:17:29.900000000,1493597849.9,2017-05-01 00:17:50.839866112,1493597870.8398662,3508.0,1138.0,17592367692918,17592367731492.0,110.4360475,19.964903,110.4350106,19.9661221
373,47,delivery_p2,2017-05-01 00:30:00.000000000,1493598600.0,2017-05-01 00:58:58.070617600,1493600338.0706177,3508.0,477.0,17592367952960,17592367952960.0,110.4360475,19.964903,110.3452632,20.0307648
374,103,delivery_p1,2017-05-01 00:36:34.821059584,1493598994.8210597,2017-05-01 00:40:24.258633472,1493599224.2586334,630.0,477.0,17592367590465,17592367778863.0,110.3366104,20.022448,110.3452632,20.0307648
375,34,delivery_p2,2017-05-01 00:26:16.799553536,1493598376.7995536,2017-05-01 00:30:30.819239168,1493598630.8192391,1283.0,477.0,17592367946002,17592367701965.0,110.3323418,20.040324,110.3452632,20.0307648
376,47,delivery_p1,2017-05-01 00:58:58.070617600,1493600338.0706177,2017-05-01 00:58:58.070617600,1493600338.0706177,477.0,477.0,17592367952960,17592367952960.0,110.3452632,20.0307648,110.3452632,20.0307648
377,63,"failed_ridepooling,delivery_p1",2017-05-01 00:34:40.000000000,1493598880.0,2017-05-01 00:50:38.431240704,1493599838.4312408,827.0,477.0,17592367819835,,110.2770226,20.0156193,110.3452632,20.0307648
378,112,pickup_p1,2017-05-01 00:08:59.900000000,1493597339.9,2017-05-01 00:09:00.000000000,1493597340.0,2330.0,2330.0,17592367542850,,110.4728753,19.9839538,110.4728753,19.9839538
379,2,delivery_p2,2017-05-01 00:46:05.101060352,1493599565.1010604,2017-05-01 00:56:00.126030336,1493600160.1260304,1140.0,2330.0,17592367980928,17592368153898.0,110.4312294,19.9695234,110.4728753,19.9839538
380,2,delivery_p1,2017-05-01 00:56:00.126030336,1493600160.1260304,2017-05-01 01:00:13.889300736,1493600413.8893008,2330.0,1993.0,17592367980928,17592368153898.0,110.4728753,19.9839538,110.4918132,19.9859625
381,20,pickup_p1,2017-05-01 00:21:09.900000000,1493598069.9,2017-05-01 00:25:57.591990528,1493598357.5919905,3411.0,634.0,17592367643749,,110.3293273,20.0234303,110.3469261,20.022125
382,79,pickup_p1,2017-05-01 00:25:29.900000000,1493598329.9,2017-05-01 00:27:36.413127936,1493598456.413128,1331.0,634.0,17592367787665,,110.3388606,20.0250458,110.3469261,20.022125
383,79,pickup_p2,2017-05-01 00:32:09.900000000,1493598729.9,2017-05-01 00:32:10.000000000,1493598730.0,634.0,634.0,17592367787665,17592367907194.0,110.3469261,20.022125,110.3469261,20.022125
384,67,pickup_p1,2017-05-01 00:09:29.900000000,1493597369.9,2017-05-01 00:15:27.807560192,1493597727.8075602,2697.0,2803.0,17592360216531,,110.3493853,19.9186334,110.322801,19.9186544
385,67,pickup_p2,2017-05-01 00:09:39.900000000,1493597379.9,2017-05-01 00:09:40.000000000,1493597380.0,2803.0,2803.0,17592360216531,17592360216531.0,110.322801,19.9186544,110.322801,19.9186544
386,8,delivery_p1,2017-05-01 00:50:46.246977536,1493599846.2469776,2017-05-01 00:56:35.154099200,1493600195.1540992,479.0,1363.0,17592367948960,17592368048043.0,110.3449993,20.0311155,110.356753,20.0390648
387,70,pickup_p1,2017-05-01 00:09:39.900000000,1493597379.9,2017-05-01 00:11:05.297427456,1493597465.2974274,487.0,1286.0,17592367537052,,110.3368436,20.036208,110.3324704,20.0407216
388,64,pickup_p2,2017-05-01 00:42:19.900000000,1493599339.9,2017-05-01 00:43:45.297427456,1493599425.2974274,487.0,1286.0,17592367923110,17592367935186.0,110.3368436,20.036208,110.3324704,20.0407216
389,72,delivery_p1,2017-05-01 00:33:12.597856256,1493598792.5978563,2017-05-01 00:40:49.571391232,1493599249.571391,487.0,3296.0,17592367801490,17592367960860.0,110.3368436,20.036208,110.3261895,20.0103863
390,9,pickup_p2,2017-05-01 00:37:59.900000000,1493599079.9,2017-05-01 00:39:51.580409600,1493599191.5804095,487.0,2388.0,17592367859635,17592368075066.0,110.3368436,20.036208,110.3342027,20.0284848
391,97,pickup_p1,2017-05-01 00:16:09.900000000,1493597769.9,2017-05-01 00:16:10.000000000,1493597770.0,2388.0,2388.0,17592367764808,,110.3342027,20.0284848,110.3342027,20.0284848
392,10,pickup_p2,2017-05-01 00:50:39.900000000,1493599839.9,2017-05-01 00:52:30.564971008,1493599950.564971,2218.0,2388.0,17592367947897,17592368039152.0,110.3401534,20.0289451,110.3342027,20.0284848
393,100,delivery_p2,2017-05-01 00:45:01.911401472,1493599501.9114015,2017-05-01 00:47:14.572902400,1493599634.5729024,1330.0,2388.0,17592367828857,17592367847244.0,110.3417736,20.0234533,110.3342027,20.0284848
394,4,delivery_p1,2017-05-01 00:40:46.190707456,1493599246.1907074,2017-05-01 00:48:39.601696512,1493599719.6016965,2666.0,2388.0,17592367835836,17592368076802.0,110.3424934,19.9997167,110.3342027,20.0284848
395,37,delivery_p2,2017-05-01 01:04:21.595367936,1493600661.595368,2017-05-01 01:13:02.872854784,1493601182.8728547,557.0,2388.0,17592368189309,17592368445867.0,110.3589268,20.05019,110.3342027,20.0284848
