,vehicle_id,vehicle_type,depart_time,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
0,89,pickup_p1,1493596860.0,2389.0,2389.0,17592367572118,,110.3418919,20.0473513,110.3418919,20.0473513
1,126,pickup_p2,1493597020.0,2389.0,2389.0,17592367501490,17592367501490.0,110.3418919,20.0473513,110.3418919,20.0473513
2,126,pickup_p1,1493597010.0,412.0,2389.0,17592367501490,,110.341176,20.0472457,110.3418919,20.0473513
3,126,delivery_p2,1493597020.0,2389.0,3694.0,17592367501490,17592367501490.0,110.3418919,20.0473513,110.4625777,19.9416606
4,83,delivery_p1,1493600703.578809,1058.0,3694.0,17592368280308,17592368348494.0,110.3461814,19.9888816,110.4625777,19.9416606
5,91,pickup_p1,1493596950.0,3835.0,3694.0,17592367490350,,110.4604107,19.9420465,110.4625777,19.9416606
6,70,delivery_p1,1493598436.871395,3435.0,3694.0,17592367537052,17592367721287.0,110.3660652,20.0082413,110.4625777,19.9416606
7,126,delivery_p1,1493599581.754183,3694.0,3694.0,17592367501490,17592367501490.0,110.4625777,19.9416606,110.4625777,19.9416606
8,67,delivery_p1,1493599402.0757537,3694.0,3694.0,17592360216531,17592360216531.0,110.4625777,19.9416606,110.4625777,19.9416606
9,36,delivery_p1,1493600722.7744317,3694.0,3694.0,17592367880772,17592367880772.0,110.4625777,19.9416606,110.4625777,19.9416606
10,45,delivery_p1,1493600646.8521698,3694.0,3694.0,17592367912532,17592367912532.0,110.4625777,19.9416606,110.4625777,19.9416606
11,51,delivery_p1,1493601401.4570622,3694.0,3694.0,17592368031258,17592368031258.0,110.4625777,19.9416606,110.4625777,19.9416606
12,111,pickup_p1,1493599560.0,3694.0,3694.0,17592368032506,,110.4625777,19.9416606,110.4625777,19.9416606
13,111,"failed_ridepooling,delivery_p1",1493597630.0,1050.0,3694.0,17592362254518,,110.3615379,20.0018709,110.4625777,19.9416606
14,0,"failed_ridepooling,delivery_p1",1493599260.0,885.0,3694.0,17592367893244,,110.3293982,19.9987481,110.4625777,19.9416606
15,109,delivery_p1,1493599810.1015117,3437.0,3694.0,17592367818974,17592367902353.0,110.4032877,20.0185729,110.4625777,19.9416606
16,67,delivery_p2,1493597380.0,2803.0,3694.0,17592360216531,17592360216531.0,110.322801,19.9186544,110.4625777,19.9416606
17,114,delivery_p1,1493600161.1367705,1085.0,3694.0,17592367704821,17592367982670.0,110.3443467,19.9804333,110.4625777,19.9416606
18,51,delivery_p2,1493599530.0,1085.0,3694.0,17592368031258,17592368031258.0,110.3443467,19.9804333,110.4625777,19.9416606
19,65,"failed_ridepooling,delivery_p1",1493598530.0,3589.0,3694.0,17592367779026,,110.1915533,20.0592676,110.4625777,19.9416606
20,98,delivery_p1,1493598032.6593728,2143.0,3694.0,17592367581362,17592367708878.0,110.3322275,20.0104305,110.4625777,19.9416606
21,69,delivery_p1,1493600146.5135849,1331.0,3694.0,17592368051732,17592367944339.0,110.3388606,20.0250458,110.4625777,19.9416606
22,2,delivery_p2,1493597870.8398662,1138.0,3694.0,17592367692918,17592367731492.0,110.4350106,19.9661221,110.4625777,19.9416606
23,36,delivery_p2,1493598530.0,131.0,3694.0,17592367880772,17592367880772.0,110.352186,20.0310511,110.4625777,19.9416606
24,74,delivery_p1,1493600648.2063508,1076.0,3694.0,17592367947897,17592368039152.0,110.3488917,19.989201,110.4625777,19.9416606
25,108,"failed_ridepooling,delivery_p1",1493598800.0,1773.0,3694.0,17592367859852,,110.298201,20.0221929,110.4625777,19.9416606
26,101,delivery_p1,1493599143.5023856,1280.0,3694.0,17592367804226,17592367817273.0,110.3334018,20.0405368,110.4625777,19.9416606
27,7,"failed_ridepooling,delivery_p1",1493599800.0,470.0,3694.0,17592367853785,,110.3672802,19.9885615,110.4625777,19.9416606
28,61,"failed_ridepooling,delivery_p1",1493598600.0,571.0,3694.0,17592367718008,,110.3760633,19.9983912,110.4625777,19.9416606
29,93,"failed_ridepooling,delivery_p1",1493598600.0,571.0,3694.0,17592367718008,,110.3760633,19.9983912,110.4625777,19.9416606
30,45,delivery_p2,1493598900.0,3286.0,3694.0,17592367912532,17592367912532.0,110.3644194,19.9857239,110.4625777,19.9416606
31,128,delivery_p1,1493599253.7638624,2646.0,3694.0,17592367760305,17592368054818.0,110.3713449,20.029333,110.4625777,19.9416606
32,64,delivery_p2,1493599746.7404811,3258.0,3694.0,17592368075066,17592367859635.0,110.3758451,20.0270426,110.4625777,19.9416606
33,35,delivery_p2,1493601001.8458822,2401.0,3694.0,17592368148417,17592368071861.0,110.3620649,20.0065132,110.4625777,19.9416606
34,89,"failed_ridepooling,delivery_p1",1493597460.0,2389.0,1373.0,17592367572118,,110.3418919,20.0473513,110.3615289,20.0364717
35,121,pickup_p2,1493599830.0,3258.0,1373.0,17592368014350,17592368259872.0,110.3758451,20.0270426,110.3615289,20.0364717
36,9,pickup_p1,1493596880.0,2634.0,1547.0,17592367660291,,110.3334344,20.0750017,110.3376891,20.0710574
37,125,delivery_p1,1493599480.5486314,1547.0,1547.0,17592367809527,17592367903518.0,110.3376891,20.0710574,110.3376891,20.0710574
38,130,delivery_p1,1493599871.5410686,630.0,1547.0,17592368103500,17592368109862.0,110.3366104,20.022448,110.3376891,20.0710574
39,125,delivery_p2,1493598730.0,2207.0,1547.0,17592367809527,17592367903518.0,110.3471015,20.0207659,110.3376891,20.0710574
40,76,"failed_ridepooling,delivery_p1",1493597850.0,1343.0,1547.0,17592367541963,,110.3623926,20.0295238,110.3376891,20.0710574
41,57,delivery_p1,1493598450.330569,1071.0,1547.0,17592367589354,17592367845531.0,110.353014,19.9990498,110.3376891,20.0710574
42,75,delivery_p2,1493601163.7580175,38.0,1547.0,17592368108745,17592368282568.0,110.3204729,20.0245874,110.3376891,20.0710574
43,60,delivery_p1,1493600114.4386022,3269.0,1547.0,17592368074276,17592367991408.0,110.3418024,20.0320787,110.3376891,20.0710574
