,vehicle_id,vehicle_type,depart_time,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
46,266,delivery_p1,1493599414.860765,1823.0,1547.0,17592368074276.0,17592367864109.0,110.3578546,20.0006773,110.3376891,20.0710574
47,55,delivery_p2,1493599330.0,448.0,1547.0,17592367881100.0,17592368103500.0,110.3516669,20.0190248,110.3376891,20.0710574
48,114,delivery_p1,1493599480.5486314,1547.0,1547.0,17592367809527.0,17592367903518.0,110.3376891,20.0710574,110.3376891,20.0710574
49,55,delivery_p1,1493600157.9498398,1547.0,1547.0,17592367881100.0,17592368103500.0,110.3376891,20.0710574,110.3376891,20.0710574
50,57,delivery_p2,1493600727.6576314,1355.0,1547.0,17592368003908.0,17592368282568.0,110.3583782,20.0256168,110.3376891,20.0710574
51,114,pickup_p2,1493599740.0,2634.0,1549.0,17592367992143.0,17592368187522.0,110.3334344,20.0750017,110.3470871,20.0655831
52,189,reposition,1493599740.0,557.0,1549.0,,,110.3589268,20.05019,110.3470871,20.0655831
53,165,pickup_p1,1493596880.0,878.0,878.0,17592367551984.0,,110.3135356,19.9972854,110.3135356,19.9972854
54,165,pickup_p2,1493597120.0,878.0,878.0,17592367551984.0,17592367516492.0,110.3135356,19.9972854,110.3135356,19.9972854
55,250,pickup_p1,1493598840.0,1738.0,878.0,17592367845761.0,,110.3092079,20.002332,110.3135356,19.9972854
56,165,delivery_p1,1493597120.0,878.0,3370.0,17592367551984.0,17592367516492.0,110.3135356,19.9972854,110.2864787,20.0150311
57,250,pickup_p2,1493598900.0,878.0,3295.0,17592367845761.0,17592368050594.0,110.3135356,19.9972854,110.3207849,20.0059378
58,105,pickup_p1,1493597930.0,2390.0,3295.0,17592367746706.0,,110.3242171,20.0017526,110.3207849,20.0059378
59,69,reposition,1493597750.0,3223.0,3295.0,,,110.2944066,19.9998084,110.3207849,20.0059378
60,273,reposition,1493597770.0,3223.0,3295.0,,,110.2944066,19.9998084,110.3207849,20.0059378
61,161,reposition,1493599620.0,3223.0,3295.0,,,110.2944066,19.9998084,110.3207849,20.0059378
62,37,pickup_p1,1493599740.0,1754.0,3295.0,17592368160282.0,,110.3224961,20.0164463,110.3207849,20.0059378
63,372,reposition,1493598900.0,1567.0,3295.0,,,110.3258981,20.0639458,110.3207849,20.0059378
64,38,pickup_p2,1493599290.0,79.0,3295.0,17592367996527.0,17592368092667.0,110.3105516,20.0252305,110.3207849,20.0059378
65,289,reposition,1493599290.0,571.0,3295.0,,,110.3760633,19.9983912,110.3207849,20.0059378
66,105,reposition,1493599290.0,3399.0,3295.0,,,110.2451681,20.0121506,110.3207849,20.0059378
67,147,reposition,1493599620.0,3389.0,3295.0,,,110.3262941,20.0197552,110.3207849,20.0059378
68,180,pickup_p1,1493596880.0,3214.0,3206.0,17592367561064.0,,110.2778451,19.984437,110.2739166,19.9838259
69,274,reposition,1493596940.0,3214.0,2390.0,,,110.2778451,19.984437,110.3242171,20.0017526
70,220,reposition,1493596940.0,2671.0,2390.0,,,110.3500396,20.0048891,110.3242171,20.0017526
71,308,pickup_p1,1493596940.0,2390.0,2390.0,17592367577020.0,,110.3242171,20.0017526,110.3242171,20.0017526
72,24,pickup_p1,1493600320.0,2390.0,2390.0,17592368231826.0,,110.3242171,20.0017526,110.3242171,20.0017526
73,146,reposition,1493596940.0,3348.0,2390.0,,,110.265418,19.9655829,110.3242171,20.0017526
74,304,reposition,1493596940.0,3348.0,2390.0,,,110.265418,19.9655829,110.3242171,20.0017526
75,2,reposition,1493596940.0,3508.0,2390.0,,,110.4360475,19.964903,110.3242171,20.0017526
76,128,reposition,1493596940.0,2403.0,2390.0,,,110.3647003,20.0083189,110.3242171,20.0017526
77,5,reposition,1493596940.0,3308.0,2390.0,,,110.3131939,20.0065213,110.3242171,20.0017526
78,237,reposition,1493596940.0,3308.0,2390.0,,,110.3131939,20.0065213,110.3242171,20.0017526
79,264,reposition,1493596940.0,3308.0,2390.0,,,110.3131939,20.0065213,110.3242171,20.0017526
80,173,reposition,1493596940.0,997.0,2390.0,,,110.3808548,19.9830621,110.3242171,20.0017526
81,10,reposition,1493596940.0,177.0,2390.0,,,110.3280866,20.0430644,110.3242171,20.0017526
82,182,reposition,1493596940.0,1213.0,2390.0,,,110.3257251,20.0639415,110.3242171,20.0017526
83,14,reposition,1493596940.0,1772.0,2390.0,,,110.3011871,20.0244527,110.3242171,20.0017526
84,216,reposition,1493596940.0,64.0,2390.0,,,110.3233426,20.0078761,110.3242171,20.0017526
85,350,reposition,1493596940.0,1227.0,2390.0,,,110.3524178,20.0549428,110.3242171,20.0017526
86,19,reposition,1493596940.0,1746.0,2390.0,,,110.2857324,20.0033681,110.3242171,20.0017526
87,127,reposition,1493596940.0,1746.0,2390.0,,,110.2857324,20.0033681,110.3242171,20.0017526
88,20,reposition,1493596940.0,1822.0,2390.0,,,110.3606127,20.0014586,110.3242171,20.0017526
89,213,reposition,1493596940.0,1822.0,2390.0,,,110.3606127,20.0014586,110.3242171,20.0017526
90,24,reposition,1493596940.0,1133.0,2390.0,,,110.337474,19.9805445,110.3242171,20.0017526
91,210,reposition,1493596940.0,1133.0,2390.0,,,110.337474,19.9805445,110.3242171,20.0017526
92,384,reposition,1493596940.0,1133.0,2390.0,,,110.337474,19.9805445,110.3242171,20.0017526
93,337,reposition,1493596940.0,2278.0,2390.0,,,110.2014934,20.054677,110.3242171,20.0017526
94,27,reposition,1493596940.0,364.0,2390.0,,,110.4133784,19.9919867,110.3242171,20.0017526
95,381,reposition,1493596940.0,364.0,2390.0,,,110.4133784,19.9919867,110.3242171,20.0017526
96,28,reposition,1493596940.0,2652.0,2390.0,,,110.3567861,20.068738,110.3242171,20.0017526
97,35,reposition,1493596940.0,1770.0,2390.0,,,110.2901767,20.0202475,110.3242171,20.0017526
98,30,reposition,1493596940.0,185.0,2390.0,,,110.3411185,20.0349696,110.3242171,20.0017526
99,46,reposition,1493596940.0,470.0,2390.0,,,110.3672802,19.9885615,110.3242171,20.0017526
100,38,reposition,1493596940.0,119.0,2390.0,,,110.3289558,20.025095,110.3242171,20.0017526
101,42,reposition,1493596940.0,119.0,2390.0,,,110.3289558,20.025095,110.3242171,20.0017526
102,39,reposition,1493596940.0,3580.0,2390.0,,,110.4791877,19.9705003,110.3242171,20.0017526
103,247,reposition,1493596940.0,1047.0,2390.0,,,110.3544557,20.0068401,110.3242171,20.0017526
104,44,reposition,1493596940.0,476.0,2390.0,,,110.346802,20.0243798,110.3242171,20.0017526
105,151,reposition,1493596940.0,476.0,2390.0,,,110.346802,20.0243798,110.3242171,20.0017526
106,315,reposition,1493596940.0,476.0,2390.0,,,110.346802,20.0243798,110.3242171,20.0017526
107,45,reposition,1493596940.0,993.0,2390.0,,,110.3657146,19.9802057,110.3242171,20.0017526
108,80,reposition,1493596940.0,993.0,2390.0,,,110.3657146,19.9802057,110.3242171,20.0017526
109,47,reposition,1493596940.0,1140.0,2390.0,,,110.4312294,19.9695234,110.3242171,20.0017526
110,201,reposition,1493596940.0,479.0,2390.0,,,110.3449993,20.0311155,110.3242171,20.0017526
111,50,reposition,1493596940.0,885.0,2390.0,,,110.3293982,19.9987481,110.3242171,20.0017526
112,83,reposition,1493596940.0,885.0,2390.0,,,110.3293982,19.9987481,110.3242171,20.0017526
113,53,reposition,1493596940.0,3301.0,2390.0,,,110.3115497,20.019395,110.3242171,20.0017526
114,56,reposition,1493596940.0,133.0,2390.0,,,110.3550341,20.0284767,110.3242171,20.0017526
115,57,reposition,1493596940.0,1085.0,2390.0,,,110.3443467,19.9804333,110.3242171,20.0017526
116,356,reposition,1493596940.0,1085.0,2390.0,,,110.3443467,19.9804333,110.3242171,20.0017526
117,24,reposition,1493599880.0,1085.0,2390.0,,,110.3443467,19.9804333,110.3242171,20.0017526
118,241,reposition,1493599890.0,1085.0,2390.0,,,110.3443467,19.9804333,110.3242171,20.0017526
119,58,reposition,1493596940.0,1569.0,2390.0,,,110.3193785,20.0637543,110.3242171,20.0017526
120,101,reposition,1493596940.0,1569.0,2390.0,,,110.3193785,20.0637543,110.3242171,20.0017526
121,155,reposition,1493596940.0,1569.0,2390.0,,,110.3193785,20.0637543,110.3242171,20.0017526
122,181,reposition,1493596940.0,1569.0,2390.0,,,110.3193785,20.0637543,110.3242171,20.0017526
123,62,reposition,1493596940.0,3667.0,2390.0,,,110.1852208,20.0391984,110.3242171,20.0017526
124,136,reposition,1493596940.0,3667.0,2390.0,,,110.1852208,20.0391984,110.3242171,20.0017526
125,63,reposition,1493596940.0,2227.0,2390.0,,,110.3200411,19.9995377,110.3242171,20.0017526
126,132,pickup_p1,1493599920.0,2227.0,2390.0,17592368031005.0,,110.3200411,19.9995377,110.3242171,20.0017526
127,329,reposition,1493596940.0,3571.0,2390.0,,,110.3545553,20.0743586,110.3242171,20.0017526
128,65,reposition,1493596940.0,3651.0,2390.0,,,110.1997922,20.0584788,110.3242171,20.0017526
129,248,reposition,1493596940.0,3651.0,2390.0,,,110.1997922,20.0584788,110.3242171,20.0017526
130,149,reposition,1493596940.0,823.0,2390.0,,,110.2871884,20.0093471,110.3242171,20.0017526
131,67,reposition,1493596940.0,2697.0,2390.0,,,110.3493853,19.9186334,110.3242171,20.0017526
132,68,reposition,1493596940.0,1453.0,2390.0,,,110.2620563,20.0054437,110.3242171,20.0017526
133,70,reposition,1493596940.0,487.0,2390.0,,,110.3368436,20.036208,110.3242171,20.0017526
134,239,reposition,1493596940.0,487.0,2390.0,,,110.3368436,20.036208,110.3242171,20.0017526
135,372,reposition,1493596940.0,487.0,2390.0,,,110.3368436,20.036208,110.3242171,20.0017526
136,72,reposition,1493596940.0,2218.0,2390.0,,,110.3401534,20.0289451,110.3242171,20.0017526
137,137,reposition,1493596940.0,2218.0,2390.0,,,110.3401534,20.0289451,110.3242171,20.0017526
138,232,reposition,1493596940.0,1315.0,2390.0,,,110.3570354,20.0289281,110.3242171,20.0017526
139,74,reposition,1493596940.0,1549.0,2390.0,,,110.3470871,20.0655831,110.3242171,20.0017526
140,351,reposition,1493596940.0,1549.0,2390.0,,,110.3470871,20.0655831,110.3242171,20.0017526
141,96,reposition,1493596940.0,1342.0,2390.0,,,110.3623881,20.0295795,110.3242171,20.0017526
142,77,reposition,1493596940.0,814.0,2390.0,,,110.2700487,20.0150663,110.3242171,20.0017526
143,343,reposition,1493596940.0,1556.0,2390.0,,,110.3345853,20.062167,110.3242171,20.0017526
144,79,reposition,1493596940.0,3435.0,2390.0,,,110.3660652,20.0082413,110.3242171,20.0017526
145,82,reposition,1493596940.0,3435.0,2390.0,,,110.3660652,20.0082413,110.3242171,20.0017526
146,100,reposition,1493596940.0,3435.0,2390.0,,,110.3660652,20.0082413,110.3242171,20.0017526
147,335,reposition,1493596940.0,3435.0,2390.0,,,110.3660652,20.0082413,110.3242171,20.0017526
148,345,reposition,1493596940.0,3863.0,2390.0,,,110.3162431,19.9845495,110.3242171,20.0017526
149,352,reposition,1493596940.0,3863.0,2390.0,,,110.3162431,19.9845495,110.3242171,20.0017526
150,176,reposition,1493596940.0,2631.0,2390.0,,,110.3391423,20.0783624,110.3242171,20.0017526
151,90,reposition,1493596940.0,810.0,2390.0,,,110.3169188,20.0183294,110.3242171,20.0017526
152,91,reposition,1493596940.0,3835.0,2390.0,,,110.4604107,19.9420465,110.3242171,20.0017526
153,92,reposition,1493596940.0,3589.0,2390.0,,,110.1915533,20.0592676,110.3242171,20.0017526
154,95,reposition,1493596940.0,1748.0,2390.0,,,110.2806238,20.0035368,110.3242171,20.0017526
155,99,reposition,1493596940.0,1076.0,2390.0,,,110.3488917,19.989201,110.3242171,20.0017526
156,103,reposition,1493596940.0,1096.0,2390.0,,,110.2817039,19.9781657,110.3242171,20.0017526
157,281,reposition,1493596940.0,1178.0,2390.0,,,110.3389153,20.0651414,110.3242171,20.0017526
158,105,reposition,1493596940.0,376.0,2390.0,,,110.3824824,19.9843319,110.3242171,20.0017526
159,107,reposition,1493596940.0,892.0,2390.0,,,110.2973224,20.017214,110.3242171,20.0017526
160,334,reposition,1493596940.0,892.0,2390.0,,,110.2973224,20.017214,110.3242171,20.0017526
161,25,reposition,1493599940.0,892.0,2390.0,,,110.2973224,20.017214,110.3242171,20.0017526
162,108,reposition,1493596940.0,1773.0,2390.0,,,110.298201,20.0221929,110.3242171,20.0017526
163,250,reposition,1493596940.0,3391.0,2390.0,,,110.3319369,20.0195574,110.3242171,20.0017526
164,114,reposition,1493596940.0,1348.0,2390.0,,,110.3538777,20.0403448,110.3242171,20.0017526
165,377,reposition,1493596940.0,1348.0,2390.0,,,110.3538777,20.0403448,110.3242171,20.0017526
166,116,reposition,1493596940.0,1580.0,2390.0,,,110.346009,20.0480325,110.3242171,20.0017526
167,117,reposition,1493596940.0,38.0,2390.0,,,110.3204729,20.0245874,110.3242171,20.0017526
168,225,reposition,1493596940.0,38.0,2390.0,,,110.3204729,20.0245874,110.3242171,20.0017526
169,358,reposition,1493596940.0,38.0,2390.0,,,110.3204729,20.0245874,110.3242171,20.0017526
170,394,reposition,1493596940.0,38.0,2390.0,,,110.3204729,20.0245874,110.3242171,20.0017526
171,118,reposition,1493596940.0,1728.0,2390.0,,,110.2927417,20.0065985,110.3242171,20.0017526
172,120,reposition,1493596940.0,1752.0,2390.0,,,110.2973518,20.0171734,110.3242171,20.0017526
173,147,pickup_p1,1493599990.0,3295.0,2390.0,17592368031005.0,,110.3207849,20.0059378,110.3242171,20.0017526
174,124,reposition,1493596940.0,599.0,2390.0,,,110.3736353,20.0368722,110.3242171,20.0017526
175,130,reposition,1493596940.0,248.0,2390.0,,,110.3616814,20.0579537,110.3242171,20.0017526
176,131,reposition,1493596940.0,1557.0,2390.0,,,110.3391732,20.0516407,110.3242171,20.0017526
177,189,reposition,1493596940.0,2109.0,2390.0,,,110.2897091,19.952508,110.3242171,20.0017526
178,192,reposition,1493596940.0,1035.0,2390.0,,,110.3671562,19.9885656,110.3242171,20.0017526
179,254,reposition,1493596940.0,1035.0,2390.0,,,110.3671562,19.9885656,110.3242171,20.0017526
180,393,reposition,1493596940.0,1035.0,2390.0,,,110.3671562,19.9885656,110.3242171,20.0017526
181,141,reposition,1493596940.0,1135.0,2390.0,,,110.3443557,19.9802217,110.3242171,20.0017526
182,383,reposition,1493596940.0,1135.0,2390.0,,,110.3443557,19.9802217,110.3242171,20.0017526
183,341,reposition,1493596940.0,1183.0,2390.0,,,110.316197,20.0634109,110.3242171,20.0017526
184,357,reposition,1493596940.0,1051.0,2390.0,,,110.3636388,20.0001997,110.3242171,20.0017526
185,145,reposition,1493596940.0,533.0,2390.0,,,110.3552614,20.050969,110.3242171,20.0017526
186,147,reposition,1493596940.0,1791.0,2390.0,,,110.2190796,19.9302172,110.3242171,20.0017526
