,vehicle_id,vehicle_type,depart_time,depart_timestamp,O_location,D_location,p1_id,p2_id,O_x_coord,O_y_coord,D_x_coord,D_y_coord
62,102,pickup_p2,2017-05-01 00:01:55.000000000,1493596915.0,1074.0,1074.0,17592367515296,17592367515296.0,110.3487453,19.9893267,110.3487453,19.9893267
63,73,"failed_ridepooling,delivery_p1",2017-05-01 00:55:10.000000000,1493600110.0,1058.0,1657.0,17592368101216,,110.3461814,19.9888816,110.3613256,19.9108691
64,102,delivery_p2,2017-05-01 00:02:00.000000000,1493596920.0,1074.0,2671.0,17592367515296,17592367515296.0,110.3487453,19.9893267,110.3500396,20.0048891
65,102,delivery_p1,2017-05-01 00:06:54.362265088,1493597214.362265,2671.0,2671.0,17592367515296,17592367515296.0,110.3500396,20.0048891,110.3500396,20.0048891
66,68,delivery_p2,2017-05-01 00:53:12.166648320,1493599992.1666484,2143.0,2671.0,17592368034231,17592368168638.0,110.3322275,20.0104305,110.3500396,20.0048891
67,102,pickup_p1,2017-05-01 00:38:25.000000000,1493599105.0,2671.0,1072.0,17592368077754,,110.3500396,20.0048891,110.3515021,20.001954
68,68,delivery_p1,2017-05-01 00:57:49.557545216,1493600269.5575452,2671.0,1069.0,17592368034231,17592368168638.0,110.3500396,20.0048891,110.3622966,19.9907808
69,71,pickup_p2,2017-05-01 00:42:25.000000000,1493599345.0,379.0,1069.0,17592367958209,17592367995404.0,110.3765969,19.9810403,110.3622966,19.9907808
70,118,pickup_p1,2017-05-01 00:02:15.000000000,1493596935.0,1728.0,3223.0,17592367663682,,110.2927417,20.0065985,110.2944066,19.9998084
71,38,pickup_p1,2017-05-01 00:53:45.000000000,1493600025.0,823.0,3223.0,17592368202975,,110.2871884,20.0093471,110.2944066,19.9998084
72,68,delivery_p1,2017-05-01 00:37:34.961171456,1493599054.9611714,1728.0,1772.0,17592367809999,17592367926444.0,110.2927417,20.0065985,110.3011871,20.0244527
73,114,pickup_p2,2017-05-01 00:37:25.000000000,1493599045.0,81.0,1772.0,17592367704821,17592367982670.0,110.3058475,20.0262806,110.3011871,20.0244527
74,41,delivery_p1,2017-05-01 01:08:25.084168192,1493600905.0841682,1728.0,1728.0,17592368250772,17592368250772.0,110.2927417,20.0065985,110.2927417,20.0065985
75,41,delivery_p2,2017-05-01 00:53:40.000000000,1493600020.0,1078.0,1728.0,17592368250772,17592368250772.0,110.3409699,19.9883926,110.2927417,20.0065985
76,68,pickup_p2,2017-05-01 00:35:45.000000000,1493598945.0,1740.0,1728.0,17592367809999,17592367926444.0,110.2978997,20.0033891,110.2927417,20.0065985
77,24,pickup_p1,2017-05-01 00:02:25.000000000,1493596945.0,1133.0,2243.0,17592367653395,,110.337474,19.9805445,110.3274836,19.9771667
78,30,delivery_p2,2017-05-01 00:36:05.058312448,1493598965.0583124,2111.0,2243.0,17592367864526,17592367731759.0,110.331644,19.9919764,110.3274836,19.9771667
79,57,pickup_p1,2017-05-01 00:10:05.000000000,1493597405.0,1085.0,2243.0,17592367589354,,110.3443467,19.9804333,110.3274836,19.9771667
80,57,pickup_p2,2017-05-01 00:18:05.000000000,1493597885.0,2243.0,2243.0,17592367589354,17592367845531.0,110.3274836,19.9771667,110.3274836,19.9771667
81,29,pickup_p1,2017-05-01 00:48:25.000000000,1493599705.0,1089.0,2243.0,17592367992741,,110.3196287,19.9782962,110.3274836,19.9771667
82,54,delivery_p2,2017-05-01 00:55:54.100321536,1493600154.1003215,2246.0,2243.0,17592368251626,17592368160265.0,110.326244,19.9893897,110.3274836,19.9771667
83,8,delivery_p2,2017-05-01 00:37:28.711561472,1493599048.7115614,1133.0,479.0,17592367948960,17592368048043.0,110.337474,19.9805445,110.3449993,20.0311155
84,49,pickup_p1,2017-05-01 00:09:35.000000000,1493597375.0,479.0,479.0,17592367605284,,110.3449993,20.0311155,110.3449993,20.0311155
85,49,pickup_p2,2017-05-01 00:09:45.000000000,1493597385.0,479.0,479.0,17592367605284,17592367605284.0,110.3449993,20.0311155,110.3449993,20.0311155
86,125,delivery_p1,2017-05-01 01:08:35.019352832,1493600915.019353,3412.0,479.0,17592368033396,17592368274702.0,110.3270583,20.0271084,110.3449993,20.0311155
87,8,pickup_p1,2017-05-01 00:57:55.000000000,1493600275.0,1133.0,7.0,17592368215017,,110.337474,19.9805445,110.3374007,19.9879419
88,53,pickup_p1,2017-05-01 00:49:25.000000000,1493599765.0,1085.0,7.0,17592367982761,,110.3443467,19.9804333,110.3374007,19.9879419
89,45,pickup_p1,2017-05-01 00:02:45.000000000,1493596965.0,993.0,993.0,17592367475081,,110.3657146,19.9802057,110.3657146,19.9802057
90,80,pickup_p1,2017-05-01 00:15:25.000000000,1493597725.0,993.0,993.0,17592367715698,,110.3657146,19.9802057,110.3657146,19.9802057
91,45,pickup_p2,2017-05-01 00:12:25.000000000,1493597545.0,993.0,3290.0,17592367475081,17592367605959.0,110.3657146,19.9802057,110.3622935,19.9877523
92,75,pickup_p1,2017-05-01 00:55:35.000000000,1493600135.0,1823.0,3290.0,17592368260459,,110.3578546,20.0006773,110.3622935,19.9877523
