,order_id,arrive_time,time_stamp,O_location,D_location,node_id,x_coord,y_coord
701,17592368030885,2017-05-01 08:46:28,1493628388.0,1085.0,3307.0,1085,110.3443467,19.9804333
702,17592367948960,2017-05-01 08:27:17,1493627237.0,1085.0,1363.0,1085,110.3443467,19.9804333
703,17592368092804,2017-05-01 08:39:19,1493627959.0,1085.0,2111.0,1085,110.3443467,19.9804333
704,17592367984808,2017-05-01 08:37:11,1493627831.0,1085.0,3269.0,1085,110.3443467,19.9804333
705,17592367934408,2017-05-01 08:42:51,1493628171.0,1085.0,487.0,1085,110.3443467,19.9804333
706,17592367813444,2017-05-01 08:26:30,1493627190.0,1085.0,379.0,1085,110.3443467,19.9804333
707,17592368023736,2017-05-01 08:43:17,1493628197.0,1085.0,1579.0,1085,110.3443467,19.9804333
708,17592367996844,2017-05-01 08:38:47,1493627927.0,1085.0,1773.0,1085,110.3443467,19.9804333
709,17592367888320,2017-05-01 08:27:56,1493627276.0,1085.0,411.0,1085,110.3443467,19.9804333
710,17592367993258,2017-05-01 08:39:08,1493627948.0,1085.0,2218.0,1085,110.3443467,19.9804333
711,17592367674513,2017-05-01 08:19:50,1493626790.0,1085.0,1065.0,1085,110.3443467,19.9804333
712,17592368470906,2017-05-01 08:59:53,1493629193.0,1085.0,882.0,1085,110.3443467,19.9804333
713,17592368267322,2017-05-01 08:56:04,1493628964.0,70.0,3417.0,70,110.3669743,19.9956151
714,17592367469445,2017-05-01 08:04:11,1493625851.0,70.0,1783.0,70,110.3669743,19.9956151
715,17592367515697,2017-05-01 08:09:28,1493626168.0,3297.0,1382.0,3297,110.3262857,20.0152646
716,17592368040595,2017-05-01 08:50:02,1493628602.0,3297.0,2636.0,3297,110.3262857,20.0152646
717,17592367707527,2017-05-01 08:16:39,1493626599.0,1122.0,3200.0,1122,110.2782366,19.9780946
718,17592367564188,2017-05-01 08:02:01,1493625721.0,3221.0,2243.0,3221,110.2981517,20.0081146
719,17592368211406,2017-05-01 08:54:39,1493628879.0,3221.0,885.0,3221,110.2981517,20.0081146
720,17592367958641,2017-05-01 08:43:14,1493628194.0,3221.0,131.0,3221,110.2981517,20.0081146
721,17592367632069,2017-05-01 08:19:22,1493626762.0,3221.0,1763.0,3221,110.2981517,20.0081146
722,17592367918347,2017-05-01 08:38:56,1493627936.0,3270.0,189.0,3270,110.3202553,20.0541612
723,17592368126353,2017-05-01 08:59:19,1493629159.0,3270.0,3269.0,3270,110.3202553,20.0541612
724,17592368277551,2017-05-01 08:52:59,1493628779.0,2196.0,2220.0,2196,110.3462777,20.0013024
725,17592367974569,2017-05-01 08:40:26,1493628026.0,2196.0,3392.0,2196,110.3462777,20.0013024
726,17592367614551,2017-05-01 08:13:04,1493626384.0,2196.0,761.0,2196,110.3462777,20.0013024
727,17592368294512,2017-05-01 08:57:06,1493629026.0,2196.0,1384.0,2196,110.3462777,20.0013024
728,17592368073628,2017-05-01 08:34:52,1493627692.0,2196.0,2388.0,2196,110.3462777,20.0013024
729,17592367534093,2017-05-01 08:07:40,1493626060.0,3437.0,3644.0,3437,110.4032877,20.0185729
730,17592368166736,2017-05-01 08:45:00,1493628300.0,2111.0,2132.0,2111,110.331644,19.9919764
731,17592368348494,2017-05-01 08:57:58,1493629078.0,2111.0,1058.0,2111,110.331644,19.9919764
732,17592367747628,2017-05-01 08:09:58,1493626198.0,2111.0,993.0,2111,110.331644,19.9919764
733,17592362531154,2017-05-01 08:02:44,1493625764.0,2111.0,3694.0,2111,110.331644,19.9919764
734,17592368197385,2017-05-01 08:52:48,1493628768.0,2111.0,3694.0,2111,110.331644,19.9919764
735,17592367479989,2017-05-01 08:03:25,1493625805.0,2111.0,1085.0,2111,110.331644,19.9919764
736,17592367529272,2017-05-01 08:07:09,1493626029.0,2111.0,75.0,2111,110.331644,19.9919764
737,17592368041501,2017-05-01 08:48:55,1493628535.0,2654.0,3279.0,2654,110.3320582,20.0000724
738,17592367993293,2017-05-01 08:43:53,1493628233.0,2654.0,1085.0,2654,110.3320582,20.0000724
739,17592368108215,2017-05-01 08:45:02,1493628302.0,2142.0,2172.0,2142,110.3322391,20.0157646
740,17592367824052,2017-05-01 08:30:13,1493627413.0,2142.0,3306.0,2142,110.3322391,20.0157646
741,17592367727189,2017-05-01 08:26:48,1493627208.0,2142.0,3384.0,2142,110.3322391,20.0157646
742,17592367857601,2017-05-01 08:38:07,1493627887.0,2142.0,3447.0,2142,110.3322391,20.0157646
743,17592368219085,2017-05-01 08:56:08,1493628968.0,60.0,2665.0,60,110.301533,20.0034038
744,17592367917923,2017-05-01 08:38:21,1493627901.0,60.0,2111.0,60,110.301533,20.0034038
745,17592367720106,2017-05-01 08:17:32,1493626652.0,60.0,2192.0,60,110.301533,20.0034038
746,17592367871480,2017-05-01 08:25:29,1493627129.0,60.0,2721.0,60,110.301533,20.0034038
747,17592367724898,2017-05-01 08:20:32,1493626832.0,60.0,803.0,60,110.301533,20.0034038
748,17592367890991,2017-05-01 08:33:12,1493627592.0,60.0,997.0,60,110.301533,20.0034038
749,17592367767744,2017-05-01 08:20:16,1493626816.0,60.0,3446.0,60,110.301533,20.0034038
750,17592368086871,2017-05-01 08:43:43,1493628223.0,60.0,3664.0,60,110.301533,20.0034038
751,17592367616160,2017-05-01 08:16:48,1493626608.0,1982.0,2223.0,1982,110.4342317,19.972406
752,17592368050727,2017-05-01 08:34:43,1493627683.0,1982.0,365.0,1982,110.4342317,19.972406
753,17592367817870,2017-05-01 08:27:00,1493627220.0,1031.0,1547.0,1031,110.3673552,19.9797669
754,17592368039850,2017-05-01 08:49:16,1493628556.0,959.0,3694.0,959,110.4334012,19.9496814
755,17592368078085,2017-05-01 08:55:13,1493628913.0,959.0,3694.0,959,110.4334012,19.9496814
756,17592368121088,2017-05-01 08:46:26,1493628386.0,959.0,3694.0,959,110.4334012,19.9496814
757,17592367625381,2017-05-01 08:20:01,1493626801.0,959.0,3694.0,959,110.4334012,19.9496814
758,17592367900276,2017-05-01 08:34:28,1493627668.0,959.0,3694.0,959,110.4334012,19.9496814
759,17592367758911,2017-05-01 08:14:22,1493626462.0,959.0,3835.0,959,110.4334012,19.9496814
760,17592367954350,2017-05-01 08:37:31,1493627851.0,3835.0,97.0,3835,110.4604107,19.9420465
761,17592368119968,2017-05-01 08:45:18,1493628318.0,3835.0,1831.0,3835,110.4604107,19.9420465
762,17592367790391,2017-05-01 08:18:36,1493626716.0,3835.0,3581.0,3835,110.4604107,19.9420465
763,17592368036079,2017-05-01 08:46:02,1493628362.0,2278.0,2043.0,2278,110.2014934,20.054677
764,17592368047645,2017-05-01 08:48:22,1493628502.0,2278.0,2043.0,2278,110.2014934,20.054677
765,17592368108727,2017-05-01 08:43:02,1493628182.0,1076.0,2143.0,1076,110.3488917,19.989201
766,17592367708459,2017-05-01 08:13:20,1493626400.0,1076.0,1085.0,1076,110.3488917,19.989201
767,17592367731612,2017-05-01 08:28:05,1493627285.0,1076.0,2697.0,1076,110.3488917,19.989201
768,17592367924856,2017-05-01 08:35:27,1493627727.0,1076.0,1329.0,1076,110.3488917,19.989201
769,17592367726358,2017-05-01 08:16:53,1493626613.0,119.0,1182.0,119,110.3289558,20.025095
770,17592368111174,2017-05-01 08:43:13,1493628193.0,119.0,1051.0,119,110.3289558,20.025095
771,17592367901580,2017-05-01 08:31:21,1493627481.0,119.0,477.0,119,110.3289558,20.025095
772,17592367533590,2017-05-01 08:07:20,1493626040.0,1179.0,3384.0,1179,110.3402698,20.0610193
773,17592368087412,2017-05-01 08:37:31,1493627851.0,1179.0,2143.0,1179,110.3402698,20.0610193
774,17592368019934,2017-05-01 08:46:23,1493628383.0,1179.0,1350.0,1179,110.3402698,20.0610193
775,17592368275275,2017-05-01 08:54:49,1493628889.0,1179.0,1583.0,1179,110.3402698,20.0610193
776,17592368029648,2017-05-01 08:47:04,1493628424.0,1179.0,803.0,1179,110.3402698,20.0610193
777,17592367756096,2017-05-01 08:12:47,1493626367.0,1179.0,2641.0,1179,110.3402698,20.0610193
778,17592367986751,2017-05-01 08:40:35,1493628035.0,1310.0,1376.0,1310,110.3492308,20.0418029
779,17592367856186,2017-05-01 08:24:19,1493627059.0,1310.0,1332.0,1310,110.3492308,20.0418029
780,17592368103272,2017-05-01 08:47:20,1493628440.0,1310.0,187.0,1310,110.3492308,20.0418029
781,17592367935186,2017-05-01 08:42:11,1493628131.0,1286.0,1332.0,1286,110.3324704,20.0407216
782,17592367537052,2017-05-01 08:09:32,1493626172.0,1286.0,3694.0,1286,110.3324704,20.0407216
783,17592368272282,2017-05-01 08:54:01,1493628841.0,1286.0,1182.0,1286,110.3324704,20.0407216
784,17592367899614,2017-05-01 08:32:30,1493627550.0,1286.0,1863.0,1286,110.3324704,20.0407216
785,17592367922869,2017-05-01 08:38:05,1493627885.0,1286.0,496.0,1286,110.3324704,20.0407216
786,17592367937033,2017-05-01 08:39:29,1493627969.0,1286.0,1567.0,1286,110.3324704,20.0407216
787,17592368118485,2017-05-01 08:57:24,1493629044.0,1286.0,2400.0,1286,110.3324704,20.0407216
788,17592367600199,2017-05-01 08:09:33,1493626173.0,1286.0,1085.0,1286,110.3324704,20.0407216
789,17592368016046,2017-05-01 08:45:43,1493628343.0,1286.0,1085.0,1286,110.3324704,20.0407216
790,17592367907194,2017-05-01 08:32:03,1493627523.0,634.0,2146.0,634,110.3469261,20.022125
791,17592367643749,2017-05-01 08:17:58,1493626678.0,634.0,2041.0,634,110.3469261,20.022125
792,17592367787665,2017-05-01 08:25:28,1493627128.0,634.0,1040.0,634,110.3469261,20.022125
793,17592367770145,2017-05-01 08:22:12,1493626932.0,634.0,1547.0,634,110.3469261,20.022125
794,17592368134399,2017-05-01 08:51:23,1493628683.0,2155.0,3303.0,2155,110.335715,20.0191855
795,17592367992143,2017-05-01 08:41:15,1493628075.0,2634.0,1327.0,2634,110.3334344,20.0750017
796,17592367785299,2017-05-01 08:18:57,1493626737.0,1563.0,1784.0,1563,110.3156404,20.059371
797,17592367749275,2017-05-01 08:10:04,1493626204.0,1300.0,189.0,1300,110.3362951,20.045963
798,17592367922028,2017-05-01 08:37:12,1493627832.0,123.0,488.0,123,110.323987,20.0302361
799,17592368216656,2017-05-01 08:54:47,1493628887.0,1381.0,79.0,1381,110.3309535,20.0360724
800,17592367524498,2017-05-01 08:05:34,1493625934.0,993.0,1999.0,993,110.3657146,19.9802057
801,17592367475081,2017-05-01 08:02:42,1493625762.0,993.0,1085.0,993,110.3657146,19.9802057
802,17592367802686,2017-05-01 08:25:49,1493627149.0,993.0,1048.0,993,110.3657146,19.9802057
803,17592367715698,2017-05-01 08:15:22,1493626522.0,993.0,3624.0,993,110.3657146,19.9802057
804,17592368153077,2017-05-01 08:49:59,1493628599.0,993.0,2127.0,993,110.3657146,19.9802057
805,17592367551713,2017-05-01 08:14:38,1493626478.0,993.0,3304.0,993,110.3657146,19.9802057
806,17592367901042,2017-05-01 08:35:12,1493627712.0,993.0,3285.0,993,110.3657146,19.9802057
807,17592368109862,2017-05-01 08:44:24,1493628264.0,2649.0,630.0,2649,110.3518319,20.0219707
808,17592367928244,2017-05-01 08:37:10,1493627830.0,116.0,1085.0,116,110.3316762,20.0261705
809,17592367843613,2017-05-01 08:35:03,1493627703.0,116.0,1085.0,116,110.3316762,20.0261705
810,17592368056907,2017-05-01 08:32:44,1493627564.0,116.0,1555.0,116,110.3316762,20.0261705
811,17592367593452,2017-05-01 08:06:44,1493626004.0,116.0,495.0,116,110.3316762,20.0261705
812,17592367518000,2017-05-01 08:05:09,1493625909.0,116.0,1820.0,116,110.3316762,20.0261705
813,17592368034231,2017-05-01 08:48:14,1493628494.0,116.0,1069.0,116,110.3316762,20.0261705
814,17592368209130,2017-05-01 08:52:29,1493628749.0,116.0,3392.0,116,110.3316762,20.0261705
815,17592362254518,2017-05-01 08:03:44,1493625824.0,1050.0,3694.0,1050,110.3615379,20.0018709
816,17592368108745,2017-05-01 08:54:38,1493628878.0,1050.0,38.0,1050,110.3615379,20.0018709
817,17592367704227,2017-05-01 08:14:07,1493626447.0,1050.0,835.0,1050,110.3615379,20.0018709
818,17592367588092,2017-05-01 08:08:18,1493626098.0,2679.0,1331.0,2679,110.2803676,19.9933808
