,Unnamed: 0,dwv_order_make_haikou_1.order_id,dwv_order_make_haikou_1.arrive_time,dwv_order_make_haikou_1.departure_time,dwv_order_make_haikou_1.dest_lng,dwv_order_make_haikou_1.dest_lat,dwv_order_make_haikou_1.starting_lng,dwv_order_make_haikou_1.starting_lat,dwv_order_make_haikou_1.year,dwv_order_make_haikou_1.month,dwv_order_make_haikou_1.day
20131,442582,17592368237830,2017-05-01 09:00:57,2017-05-01 08:56:15,110.3752,20.0392,110.3616,20.0297,2017,5,1
20132,442583,17592368367991,2017-05-01 09:05:48,2017-05-01 08:58:06,110.3484,20.0213,110.327,20.0355,2017,5,1
20191,442642,17592367642679,2017-05-01 08:20:13,2017-05-01 08:16:50,110.3754,19.99,110.4126,19.927,2017,5,1
20192,442643,17592367703099,2017-05-01 08:14:56,2017-05-01 08:08:13,110.32,20.0676,110.4658,19.9405,2017,5,1
20193,442644,17592368094711,2017-05-01 08:40:39,2017-05-01 08:37:18,110.3461,20.0322,110.3369,20.0248,2017,5,1
20263,442714,17592367906074,2017-05-01 08:29:36,2017-05-01 08:29:27,110.3575,20.02,110.3442,20.0525,2017,5,1
20264,442715,17592367940260,2017-05-01 08:41:42,2017-05-01 08:36:49,110.2996,19.9758,110.3091,20.0148,2017,5,1
20265,442716,17592368079502,0000-00-00 00:00:00,2017-05-01 08:34:05,110.462,19.9394,110.4501,19.9418,2017,5,1
20404,442855,17592367566021,2017-05-01 08:10:03,2017-05-01 08:08:24,110.3217,20.0135,110.3411,19.9962,2017,5,1
20405,442856,17592367914246,2017-05-01 08:34:15,2017-05-01 08:31:16,110.3433,19.9841,110.3625,20.0695,2017,5,1
20474,442925,17592367850943,2017-05-01 08:20:44,2017-05-01 08:16:30,110.3302,20.0159,110.2855,19.9959,2017,5,1
20543,442994,17592368468784,0000-00-00 00:00:00,2017-05-01 08:59:17,110.341,20.0526,110.3174,20.059,2017,5,1
20617,443068,17592367876425,2017-05-01 08:36:18,2017-05-01 08:32:20,110.3513,20.0305,110.3767,20.0216,2017,5,1
20618,443069,17592367901650,2017-05-01 08:34:31,2017-05-01 08:28:27,110.3391,20.0318,110.3262,19.9928,2017,5,1
20683,443134,17592367961480,2017-05-01 08:33:39,2017-05-01 08:29:04,110.2871,20.0073,110.3034,19.9978,2017,5,1
20741,443192,17592367951302,2017-05-01 08:34:46,2017-05-01 08:26:45,110.341,20.0355,110.3311,20.0327,2017,5,1
20742,443193,17592368275311,2017-05-01 08:55:30,2017-05-01 08:50:48,110.3251,20.0353,110.3215,20.0257,2017,5,1
20803,443254,17592368191775,2017-05-01 08:54:17,2017-05-01 08:46:48,110.313,19.976,110.2868,19.9761,2017,5,1
20867,443318,17592367584456,2017-05-01 08:10:29,2017-05-01 08:02:01,110.4634,19.9369,110.2937,20.0221,2017,5,1
20868,443319,17592368186709,2017-05-01 08:53:15,2017-05-01 08:50:20,110.3303,20.0301,110.3039,20.0224,2017,5,1
21012,443463,17592367536198,2017-05-01 08:07:30,2017-05-01 08:04:23,110.2685,19.78,110.4658,19.9405,2017,5,1
21013,443464,17592367784292,2017-05-01 08:19:18,2017-05-01 08:15:52,110.3398,20.0298,110.3364,20.0506,2017,5,1
21014,443465,17592368032506,2017-05-01 08:45:54,2017-05-01 08:44:02,110.4847,19.9677,110.4615,19.9395,2017,5,1
21015,443466,17592368244396,2017-05-01 08:59:30,2017-05-01 08:57:36,110.3036,20.0198,110.283,20.016,2017,5,1
21140,443591,17592367543293,2017-05-01 08:08:21,2017-05-01 08:05:44,110.3433,19.9841,110.3602,19.9889,2017,5,1
21141,443592,17592367714823,2017-05-01 08:14:00,2017-05-01 08:11:10,110.3398,20.0303,110.3635,20.0416,2017,5,1
21142,443593,17592367755063,2017-05-01 08:12:05,2017-05-01 08:08:35,110.3003,20.0217,110.297,19.9978,2017,5,1
21355,443806,17592367755431,2017-05-01 08:12:34,2017-05-01 08:08:41,110.4634,19.9369,110.3392,20.0013,2017,5,1
21356,443807,17592368073146,2017-05-01 08:37:01,2017-05-01 08:32:44,110.3183,20.0323,110.3286,20.0088,2017,5,1
21357,443808,17592368178082,2017-05-01 08:47:02,2017-05-01 08:44:03,110.3003,20.0217,110.3248,20.0626,2017,5,1
21503,443954,17592367610328,2017-05-01 08:12:33,2017-05-01 08:08:47,110.3235,19.9946,110.2897,20.0127,2017,5,1
21504,443955,17592367870650,2017-05-01 08:21:34,2017-05-01 08:21:16,110.3405,20.0398,110.3728,20.0119,2017,5,1
21559,444010,17592367809999,2017-05-01 08:29:35,2017-05-01 08:22:03,110.3019,20.0215,110.2972,20.0023,2017,5,1
21560,444011,17592367882647,2017-05-01 08:26:56,2017-05-01 08:24:05,110.2377,20.0367,110.3734,20.0045,2017,5,1
21561,444012,17592368061360,2017-05-01 08:33:15,2017-05-01 08:30:09,110.3433,19.9841,110.3336,19.982,2017,5,1
