,vehicle_id,vehicle_type,depart_time,arrival_time,O_location,D_location,p1_id,p2_id
0,178,pickup_p1,1494460809.9,1494460810.0,1385.0,1385.0,17592548400820,
1,128,pickup_p1,1494460819.9,1494460946.3668714,419.0,2641.0,17592548497250,
2,224,pickup_p1,1494460819.9,1494460846.8315854,3621.0,2693.0,17592548402083,
3,7,pickup_p1,1494460829.9,1494460830.0,1075.0,1075.0,17592548402711,
4,64,pickup_p1,1494460839.9,1494460840.0,3411.0,3411.0,17592548500015,
5,230,pickup_p1,1494460839.9,1494460916.7094626,2227.0,2390.0,17592548499967,
6,224,pickup_p2,1494460849.9,1494460902.425082,2693.0,2112.0,17592548402083,17592548359977
7,47,pickup_p1,1494460849.9,1494460856.1003475,837.0,63.0,17592548359993,
8,61,pickup_p1,1494460849.9,1494460850.0,2143.0,2143.0,17592548551831,
9,153,pickup_p1,1494460849.9,1494460968.0920556,1297.0,1782.0,17592548501415,
10,216,pickup_p1,1494460849.9,1494460905.960959,814.0,3420.0,17592548501911,
11,224,delivery_p2,1494460902.425082,1494461355.2637544,2112.0,2159.0,17592548402083,17592548359977
12,224,delivery_p1,1494461355.2637544,1494462007.9994981,2159.0,1179.0,17592548402083,17592548359977
13,88,pickup_p1,1494460859.9,1494460860.0,141.0,141.0,17592548502612,
14,99,pickup_p1,1494460859.9,1494460876.4418538,2241.0,835.0,17592548406902,
15,135,pickup_p1,1494460859.9,1494460860.0,1139.0,1139.0,17592548552048,
16,63,pickup_p1,1494460869.9,1494460974.7347445,1477.0,3420.0,17592548407372,
17,125,pickup_p1,1494460869.9,1494460897.9342704,131.0,130.0,17592548503642,
18,7,pickup_p2,1494460879.9,1494460891.3129075,1075.0,1077.0,17592548402711,17592548505423
19,61,pickup_p2,1494460879.9,1494460941.7486436,2143.0,461.0,17592548551831,17592548408840
20,125,pickup_p2,1494460879.9,1494460880.0,130.0,130.0,17592548503642,17592548370381
21,40,pickup_p1,1494460879.9,1494460945.5005906,1363.0,535.0,17592548505395,
22,89,pickup_p1,1494460879.9,1494460975.9797196,3301.0,3404.0,17592548409570,
23,160,pickup_p1,1494460879.9,1494460880.0,3286.0,3286.0,17592548554615,
24,164,pickup_p1,1494460879.9,1494460880.0,460.0,460.0,17592548409655,
25,180,pickup_p1,1494460879.9,1494460917.648835,766.0,791.0,17592548408895,
26,7,delivery_p2,1494460891.3129075,1494461217.2849967,1077.0,1048.0,17592548402711,17592548505423
27,7,delivery_p1,1494461217.2849967,1494461217.2849967,1048.0,1048.0,17592548402711,17592548505423
28,61,delivery_p1,1494460941.7486436,1494461364.1599135,461.0,3303.0,17592548551831,17592548408840
29,61,delivery_p2,1494461364.1599135,1494462134.0721557,3303.0,1524.0,17592548551831,17592548408840
30,125,delivery_p2,1494460880.0,1494461439.5971937,130.0,291.0,17592548503642,17592548370381
31,125,delivery_p1,1494461439.5971937,1494461550.793381,291.0,80.0,17592548503642,17592548370381
32,164,pickup_p2,1494460889.9,1494461082.8160877,460.0,121.0,17592548409655,17592548402359
