node_id,name,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
0,,403754491,,,,,,,110.3699741,19.9422497,,,
1,,2260911387,,,,,,,110.3664558,19.942263,,,
2,,1108236658,,,,,,,110.335875,20.0014649,,,
3,,8116461455,,,,,,,110.3359627,20.0007384,,,
4,,6241987345,,,,,,,110.3364409,19.9967779,,,
5,,6241987343,,,,,,,110.336507,19.9962508,,,
6,,6241987353,,,,,,,110.336625,19.995286,,,
7,,1108236544,,,,,,,110.3374007,19.9879419,,,
8,,2242335209,,,,,,,110.3374101,19.9878336,,,
9,,6241898845,,,,,,,110.3377999,19.9842605,,,
10,,6241898846,,,,,,,110.3378133,19.9841378,,,
11,,6241899403,,,,,,,110.3380844,19.9816536,,,
12,,2242330187,,,,,,,110.3381041,19.9814729,,,
13,,3215950990,,,,,,,110.33819,19.9810476,,,
14,,1877863330,,,,,,,110.3382426,19.9807602,,,
15,,1877863322,,,,,,,110.3382553,19.9805955,,,
16,,847747235,,,,,,,110.3913406,20.0185109,,,
17,,1877863440,,,,,,,110.3779744,20.0185624,,,
18,,6008753516,,,,,,,110.3345081,20.019339,,,
19,,6008834064,,,,,,,110.3349293,20.0193396,,,
20,,6241859793,,,,,,,110.3386782,20.0192062,,,
21,,847752362,,,,,,,110.3610949,19.7205518,,,
22,,847752232,,,,,,,110.3608216,19.7151284,,,
23,,1235027967,,,,,,,110.4274064,19.9704365,,,
24,,2242394102,,,,,,,110.4272312,19.9705899,,,
25,,6509656379,,,,,,,110.4237002,19.9724737,,,
26,,257445077,,,,,,,110.4220582,19.9733097,,,
27,,1767547743,,,,,,,110.4211654,19.9735716,,,
28,,2219013650,,,,,,,110.4200088,19.9735957,,,
29,,257445073,,,,,,,110.4154081,19.9732795,,,
30,,847867409,,,,,,,110.4103208,19.9435878,,,
31,,847867403,,,,,,,110.4215017,19.9436239,,,
32,,257445071,,,,,,,110.4079697,19.972784,,,
33,,2249482352,,,,,,,110.360852,20.0189387,,,
34,,2249482342,,,,,,,110.360866,20.0181968,,,
35,,1108193659,,,,,,,110.3228425,20.0212155,,,
36,,6008753437,,,,,,,110.3227681,20.0213117,,,
37,,6008753435,,,,,,,110.3224546,20.0216854,,,
38,,5159156096,,,,,,,110.3204729,20.0245874,,,
39,,1108194295,,,,,,,110.3205839,20.0249388,,,
40,,1108228361,,,,,,,110.3208265,20.0256772,,,
41,,6008753453,,,,,,,110.3186313,20.0154024,,,
42,,6008753490,,,,,,,110.3160589,20.0181283,,,
43,,6008753489,,,,,,,110.3160245,20.0184714,,,
44,,2246352068,,,,,,,110.3161154,20.0406483,,,
45,,1108236038,,,,,,,110.3170931,20.0392786,,,
46,,1877863362,,,,,,,110.3766757,19.9974929,,,
47,,2257595310,,,,,,,110.3767967,19.9971168,,,
48,,2232254721,,,,,,,110.3763519,19.9965785,,,
49,,3167664566,,,,,,,110.3222748,20.0316817,,,
50,,1108229344,,,,,,,110.3226972,20.0318709,,,
51,,1336673068,,,,,,,110.327801,20.0252724,,,
52,,1336673063,,,,,,,110.3276541,20.0246811,,,
53,,6008834280,,,,,,,110.3052033,20.0187447,,,
54,,6899755442,,,,,,,110.3051867,20.0186574,,,
55,,6899755441,,,,,,,110.3051477,20.0184518,,,
56,,1108194226,,,,,,,110.302973,20.0132357,,,
57,,3161948591,,,,,,,110.3029236,20.012963,,,
58,,1108236985,,,,,,,110.3028527,20.0099453,,,
59,,8337090443,,,,,,,110.3027193,20.0081086,,,
60,,2258317338,,,,,,,110.301533,20.0034038,,,
61,,5121799976,,,,,,,110.3006873,20.0000401,,,
62,,2216543397,,,,,,,110.300718,19.9969182,,,
63,,1108193702,,,,,,,110.3007141,19.9966843,,,
64,,1108193207,,,,,,,110.3233426,20.0078761,,,
65,,1108228508,,,,,,,110.3217753,20.008566,,,
66,,6008753556,,,,,,,110.3204349,20.0091401,,,
67,,1108194023,,,,,,,110.318723,20.0098734,,,
68,,2246352050,,,,,,,110.3180142,20.0380887,,,
69,,2223264335,,,,,,,110.3671888,19.9918581,,,
70,,1108194102,,,,,,,110.3669743,19.9956151,,,
71,,1336673124,,,,,,,110.3303858,20.020653,,,
72,,1336673157,,,,,,,110.3290565,20.0239323,,,
73,,1336673099,,,,,,,110.3288032,20.0244828,,,
74,,1336673114,,,,,,,110.3283287,20.0254021,,,
75,,1336673078,,,,,,,110.3276579,20.0262959,,,
76,,1336673083,,,,,,,110.3243028,20.0304304,,,
77,,1108235919,,,,,,,110.3165565,20.0239289,,,
78,,8018932050,,,,,,,110.3150659,20.0242176,,,
79,,3167661255,,,,,,,110.3105516,20.0252305,,,
80,,3167661258,,,,,,,110.3076285,20.0258757,,,
81,,3167661259,,,,,,,110.3058475,20.0262806,,,
82,,2271248647,,,,,,,110.3087903,20.0278264,,,
83,,1411531494,,,,,,,110.3595494,19.9505263,,,
84,,1108237065,,,,,,,110.3674674,19.9798072,,,
85,,1108252124,,,,,,,110.5811762,19.881304,,,
86,,1108252261,motorway_junction,,,,,,110.55761,19.9125895,,,
87,,1672697197,,,,,,,110.5564772,19.9138741,,,
