OD_id,origin_id,destination_id,lambda
0,4.0,445.0,0.0007936507936507937
1,4.0,479.0,0.0007936507936507937
2,6.0,11.0,0.0007936507936507937
3,6.0,176.0,0.0015873015873015873
4,6.0,185.0,0.0007936507936507937
5,6.0,1072.0,0.0007936507936507937
6,6.0,1085.0,0.0007936507936507937
7,6.0,1280.0,0.0007936507936507937
8,6.0,1454.0,0.0007936507936507937
9,6.0,1738.0,0.002380952380952381
10,6.0,2234.0,0.0007936507936507937
11,6.0,2665.0,0.0007936507936507937
12,6.0,3307.0,0.0007936507936507937
13,6.0,3316.0,0.0007936507936507937
14,6.0,3381.0,0.0007936507936507937
15,6.0,3664.0,0.0007936507936507937
16,7.0,35.0,0.0015873015873015873
17,7.0,38.0,0.0007936507936507937
18,7.0,52.0,0.0007936507936507937
19,7.0,117.0,0.0007936507936507937
20,7.0,128.0,0.0007936507936507937
21,7.0,292.0,0.0007936507936507937
22,7.0,318.0,0.0007936507936507937
23,7.0,379.0,0.0007936507936507937
24,7.0,419.0,0.0007936507936507937
25,7.0,430.0,0.0007936507936507937
26,7.0,477.0,0.0015873015873015873
27,7.0,487.0,0.0015873015873015873
28,7.0,488.0,0.0007936507936507937
29,7.0,495.0,0.0007936507936507937
30,7.0,532.0,0.0007936507936507937
31,7.0,678.0,0.0007936507936507937
32,7.0,689.0,0.0007936507936507937
33,7.0,761.0,0.002380952380952381
34,7.0,803.0,0.0007936507936507937
35,7.0,822.0,0.0007936507936507937
36,7.0,878.0,0.0007936507936507937
37,7.0,924.0,0.0007936507936507937
38,7.0,993.0,0.002380952380952381
39,7.0,1015.0,0.0007936507936507937
40,7.0,1016.0,0.0007936507936507937
41,7.0,1048.0,0.0015873015873015873
42,7.0,1072.0,0.0007936507936507937
43,7.0,1080.0,0.0015873015873015873
44,7.0,1085.0,0.002380952380952381
45,7.0,1157.0,0.0007936507936507937
46,7.0,1158.0,0.0007936507936507937
47,7.0,1185.0,0.0007936507936507937
48,7.0,1232.0,0.0015873015873015873
49,7.0,1276.0,0.0007936507936507937
50,7.0,1329.0,0.0015873015873015873
51,7.0,1332.0,0.0015873015873015873
52,7.0,1362.0,0.002380952380952381
53,7.0,1533.0,0.0015873015873015873
54,7.0,1547.0,0.0007936507936507937
55,7.0,1583.0,0.003968253968253968
56,7.0,1738.0,0.0007936507936507937
57,7.0,1747.0,0.0007936507936507937
58,7.0,1748.0,0.0007936507936507937
59,7.0,1750.0,0.0007936507936507937
60,7.0,1781.0,0.0007936507936507937
61,7.0,1817.0,0.0007936507936507937
62,7.0,1820.0,0.0007936507936507937
63,7.0,2111.0,0.0007936507936507937
64,7.0,2120.0,0.0007936507936507937
65,7.0,2127.0,0.0007936507936507937
66,7.0,2139.0,0.0007936507936507937
67,7.0,2143.0,0.0015873015873015873
68,7.0,2148.0,0.0015873015873015873
69,7.0,2196.0,0.0007936507936507937
